Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company
498633,12-09-2022,280,09-10-2023,BM Solutions,purchasepostcompletion@lpropertylawyers.co.uk,Sharia Murphy,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,
536266,31-01-2023,179,09-10-2023,SortRefer,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,Sort Refer,SortRefer
545845,01-03-2023,158,09-10-2023,CAL Integration,Tobi Waddell,Tobi Waddell,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancing Alliance,CAL
553792,23-03-2023,142,09-10-2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS
555637,29-03-2023,138,09-10-2023,SortRefer,purchasepostcompletion@lpropertylawyers.co.uk,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,Sort Refer,SortRefer
557211,03-04-2023,135,09-10-2023,Fix My Legals,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Fix My Legals - Standard,Fix My Legals
559124,11-04-2023,129,09-10-2023,Conveyancing Calculator Plugin,Sophie Darlington,Sophie Darlington,Head Office,Conveyancing - Purchase,18-08-2023,Not Closed,Main Fees,
569414,09-05-2023,109,09-10-2023,United Legal Services,Post Completion Team,Ume Anwar,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,BM ,BM
572053,16-05-2023,104,09-10-2023,,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,Main Fees,
576462,26-05-2023,96,09-10-2023,Movin Legal,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,Movin Legal,Movin Legal
580970,08-06-2023,87,09-10-2023,Movin Legal,Keanan Harrison,Keanan Harrison,Head Office,Conveyancing - Purchase,05-10-2023,Not Closed,Movin Legal,Movin Legal
582073,12-06-2023,85,09-10-2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS
585880,21-06-2023,78,09-10-2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
586498,22-06-2023,77,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
588099,28-06-2023,73,09-10-2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
589447,30-06-2023,71,09-10-2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
590347,04-07-2023,69,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
590469,04-07-2023,69,09-10-2023,Legal Marketing Services,Post Completion Team,Support 8,Head Office,Conveyancing - Purchase,05-10-2023,Not Closed,LMS,LMS
590532,04-07-2023,69,09-10-2023,Legal Marketing Services,Archive,Archive,Head Office,Conveyancing - Sale,05-10-2023,Not Closed,LMS,LMS
591397,06-07-2023,67,09-10-2023,ULS,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,02-10-2023,Not Closed,E Conveyancer ,ULS
596681,19-07-2023,58,09-10-2023,ReallyMoving Webhook,Simona Ralyte,Simona Ralyte,Head Office,Conveyancing - Purchase,27-09-2023,Not Closed,Conveyancer Plus,Conveyancer Plus
597730,21-07-2023,56,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
597983,21-07-2023,56,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
598468,24-07-2023,55,09-10-2023,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,E Conveyancer ,ULS
598638,25-07-2023,54,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
598672,25-07-2023,54,09-10-2023,SortRefer,Michael  Collins,Michael  Collins,Head Office,Conveyancing - Purchase,09-10-2023,Not Closed,Sort Refer,SortRefer
599566,26-07-2023,53,09-10-2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
600569,28-07-2023,51,09-10-2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS
601114,31-07-2023,50,09-10-2023,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ YMD,Local Conveyancing Quote
604348,09-08-2023,43,09-10-2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
622390,01-09-2023,26,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
623961,06-09-2023,23,09-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
