Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company
569290,09-05-2023,117,19-10-2023,SortRefer,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,18-10-2023,Not Closed,Sort Refer,SortRefer
574234,22-05-2023,108,19-10-2023,CAL Integration,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,19-10-2023,Not Closed,Conveyancing Alliance,CAL
578942,02-06-2023,99,19-10-2023,Panel: Local Conveyancing Quote,Clare Miller,Clare Miller,Head Office,Conveyancing - Purchase,26-09-2023,Not Closed,LCQ,Local Conveyancing Quote
580320,07-06-2023,96,19-10-2023,Conveyancing Calculator Plugin,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,19-10-2023,Not Closed,Main Fees,
580662,07-06-2023,96,19-10-2023,,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,19-10-2023,Not Closed,Thornley Groves,Thornley Groves
583042,14-06-2023,91,19-10-2023,,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,19-10-2023,Not Closed,Main Fees,
584583,19-06-2023,88,19-10-2023,Panel: Local Conveyancing Quote,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,18-10-2023,Not Closed,LCQ,Local Conveyancing Quote
587332,26-06-2023,83,19-10-2023,SortRefer,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,19-10-2023,Not Closed,Sort Refer,SortRefer
590542,04-07-2023,77,19-10-2023,Conveyancing Plus ,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,18-10-2023,Not Closed,Conveyancer Plus,Conveyancer Plus
591506,06-07-2023,75,19-10-2023,Panel: Thornley Groves Swinton,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,19-10-2023,Not Closed,Thornley Groves (Swinton),Thornley Groves Swinton
594463,14-07-2023,69,19-10-2023,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal
598253,24-07-2023,63,19-10-2023,BM,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,10-10-2023,Not Closed,BM ,BM
599035,25-07-2023,62,19-10-2023,Conveyancing Plus ,Alice Francisco,Alice Francisco,Head Office,Conveyancing - Purchase,13-10-2023,Not Closed,Conveyancer Plus,Conveyancer Plus
600412,28-07-2023,59,19-10-2023,Panel: Thornley Groves Swinton,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,19-10-2023,Not Closed,Thornley Groves (Swinton),Thornley Groves Swinton
603570,08-08-2023,52,19-10-2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
