Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
492683,23/08/2022,307,26/10/2023,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,24/10/2023,Not Closed,LMS,LMS,433
543046,21/02/2023,177,26/10/2023,Direct,Archive,Archive,Head Office,Conveyancing - Sale,24/10/2023,Not Closed,Main Fees,,251
548490,08/03/2023,166,26/10/2023,CAL Integration,Charlene  Hickman,Charlene  Hickman,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,236
551066,16/03/2023,160,26/10/2023,Movin Legal,Sophie Darlington,Sophie Darlington,Head Office,Conveyancing - Purchase,N/A,Not Closed,Movin Legal,Movin Legal,228
553733,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
553739,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
553748,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
553751,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
553758,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
553763,23/03/2023,155,26/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,221
