Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
569174,09/05/2023,127,02/11/2023,ULS,Post Completion Team,Support 8,Head Office,Conveyancing - Purchase,01/11/2023,On Hold,E Conveyancer ,ULS,182
579444,05/06/2023,108,02/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,155
582795,13/06/2023,102,02/11/2023,CAL Integration,Archive,Archive,Head Office,Conveyancing - Sale,20/10/2023,Not Closed,Conveyancing Alliance,CAL,147
582802,13/06/2023,102,02/11/2023,CAL Integration,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,20/10/2023,Not Closed,Conveyancing Alliance,CAL,147
583928,15/06/2023,100,02/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,145
583979,16/06/2023,99,02/11/2023,Conveyancing Direct Property Law ,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,144
584135,16/06/2023,99,02/11/2023,,Dane  Hughes,Dane  Hughes,Head Office,Conveyancing - Purchase,01/11/2023,Not Closed,Main Fees,,144
584453,19/06/2023,98,02/11/2023,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,141
584869,19/06/2023,98,02/11/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,141
585400,20/06/2023,97,02/11/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,140
587881,27/06/2023,92,02/11/2023,CAL Integration,Clare Miller,Clare Miller,Head Office,Conveyancing - Purchase,02/11/2023,Not Closed,Conveyancing Alliance,CAL,133
589007,29/06/2023,90,02/11/2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,131
589299,30/06/2023,89,02/11/2023,Lifetime Legal,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,01/11/2023,Not Closed,Lifetime Legal,Lifetime Legal,130
591386,06/07/2023,85,02/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,124
592172,10/07/2023,83,02/11/2023,TM Connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,120
595870,17/07/2023,78,02/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,113
597455,20/07/2023,75,02/11/2023,SortRefer,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,27/10/2023,Not Closed,Sort Refer,SortRefer,110
597719,21/07/2023,74,02/11/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,109
601798,02/08/2023,66,02/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,97
602414,03/08/2023,65,02/11/2023,E-Conveyancer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,96
602796,04/08/2023,64,02/11/2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,95
604118,09/08/2023,61,02/11/2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,90
604341,09/08/2023,61,02/11/2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,90
616880,15/08/2023,57,02/11/2023,ReallyMoving Webhook,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Main Fees,,84
616886,15/08/2023,57,02/11/2023,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,01/11/2023,Not Closed,E Conveyancer ,ULS,84
