Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
552729,21/03/2023,166,08/11/2023,SortRefer,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,N/A,Not Closed,Sort Refer,SortRefer,234
567489,03/05/2023,135,08/11/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,191
585432,20/06/2023,101,08/11/2023,LMS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,06/11/2023,Not Closed,LMS,LMS,143
585435,20/06/2023,101,08/11/2023,LMS,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,06/11/2023,Not Closed,LMS,LMS,143
586256,22/06/2023,99,08/11/2023,Movin Legal,Alice Francisco,Alice Francisco,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,Movin Legal,Movin Legal,141
588042,27/06/2023,96,08/11/2023,CAL Integration,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Sale,08/11/2023,Not Closed,Conveyancing Alliance,CAL,136
589061,29/06/2023,94,08/11/2023,Legal Marketing Services,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,02/11/2023,Not Closed,LMS,LMS,134
589190,30/06/2023,93,08/11/2023,,purchasepostcompletion@lpropertylawyers.co.uk,Support 2,Head Office,Conveyancing - Purchase,03/11/2023,Not Closed,E Conveyancer ,ULS,133
589583,03/07/2023,92,08/11/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,130
589705,03/07/2023,92,08/11/2023,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,08/11/2023,Not Closed,E Conveyancer ,ULS,130
589706,03/07/2023,92,08/11/2023,ULS,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,E Conveyancer ,ULS,130
590160,04/07/2023,91,08/11/2023,Direct,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,08/11/2023,On Hold,Main Fees,,129
598243,24/07/2023,77,08/11/2023,BM,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/11/2023,Not Closed,BM ,BM,109
599174,26/07/2023,75,08/11/2023,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,Sort Refer,SortRefer,107
599518,26/07/2023,75,08/11/2023,Legal Marketing Services,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,31/10/2023,Not Closed,LMS,LMS,107
602469,03/08/2023,69,08/11/2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,99
603210,07/08/2023,67,08/11/2023,United Legal Services,purchasepostcompletion@lpropertylawyers.co.uk,Support 2,Head Office,Conveyancing - Purchase,03/11/2023,Not Closed,E Conveyancer ,BM,95
603835,08/08/2023,66,08/11/2023,LMS,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,07/11/2023,Not Closed,LMS,LMS,94
619014,21/08/2023,57,08/11/2023,Conveyancing Calculator Plugin,Post Completion Team,Support 8,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,81
619675,23/08/2023,55,08/11/2023,E-Conveyancer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,79
620322,24/08/2023,54,08/11/2023,E-Conveyancer,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,03/11/2023,Not Closed,E Conveyancer ,ULS,78
622057,31/08/2023,49,08/11/2023,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,LMS,LMS,71
622225,31/08/2023,49,08/11/2023,Conveyancing Plus ,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,07/11/2023,Not Closed,Conveyancer Plus,CP Really Moving,71
625769,12/09/2023,41,08/11/2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,59
629078,21/09/2023,34,08/11/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,50
649757,05/10/2023,24,08/11/2023,TM Connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,36
651569,10/10/2023,21,08/11/2023,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ YMD,Local Conveyancing Quote,31
