Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
544133,23/02/2023,185,09/11/2023,E-Conveyancer,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,09/11/2023,Not Closed,E Conveyancer ,BM,263
567756,03/05/2023,136,09/11/2023,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,01/11/2023,Not Closed,E Conveyancer ,ULS,194
575683,24/05/2023,121,09/11/2023,SortRefer,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,Sort Refer,SortRefer,173
577192,30/05/2023,117,09/11/2023,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,167
580662,07/06/2023,111,09/11/2023,,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,09/11/2023,Not Closed,Thornley Groves,Thornley Groves,159
585441,20/06/2023,102,09/11/2023,ULS,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,09/11/2023,Not Closed,E Conveyancer ,ULS,146
585592,21/06/2023,101,09/11/2023,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,02/11/2023,Not Closed,E Conveyancer ,ULS,145
585731,21/06/2023,101,09/11/2023,GOTO Group,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,02/11/2023,Not Closed,GOTO Group,GOTO Group,145
586993,23/06/2023,99,09/11/2023,,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,143
587271,26/06/2023,98,09/11/2023,Conveyancing Plus ,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,09/11/2023,Not Closed,Main Fees,Conveyancing Plus ,140
590973,05/07/2023,91,09/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,131
598527,24/07/2023,78,09/11/2023,Lifetime Legal,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,Lifetime Legal,Lifetime Legal,112
599779,27/07/2023,75,09/11/2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,109
604181,09/08/2023,66,09/11/2023,United Legal Services,Luke  Warrior,Luke  Warrior,Head Office,Conveyancing - Purchase,31/10/2023,Not Closed,BM ,BM,96
604183,09/08/2023,66,09/11/2023,United Legal Services,Luke  Warrior,Luke  Warrior,Head Office,Conveyancing - Sale,31/10/2023,Not Closed,BM ,BM,96
616639,14/08/2023,63,09/11/2023,,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,91
618323,18/08/2023,59,09/11/2023,SortRefer,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,Sort Refer,SortRefer,87
622200,31/08/2023,50,09/11/2023,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ YMD,Local Conveyancing Quote,74
622279,31/08/2023,50,09/11/2023,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,09/11/2023,Not Closed,E Conveyancer ,ULS,74
625374,11/09/2023,43,09/11/2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,63
629836,25/09/2023,33,09/11/2023,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,49
649426,04/10/2023,26,09/11/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,40
649670,04/10/2023,26,09/11/2023,Skipton,Charlene  Hickman,Charlene  Hickman,Head Office,Remortgage,N/A,On Hold,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,40
650608,06/10/2023,24,09/11/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,38
653752,16/10/2023,18,09/11/2023,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ YMD,Local Conveyancing Quote,28
