Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
559442,11/04/2023,161,22/11/2023,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancing Alliance,CAL,227
569161,09/05/2023,141,22/11/2023,Conveyancing Plus ,Clare Miller,Clare Miller,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,Conveyancer Plus,199
573092,18/05/2023,134,22/11/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,190
573401,18/05/2023,134,22/11/2023,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,22/11/2023,Not Closed,LMS,LMS,190
576783,26/05/2023,128,22/11/2023,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,17/11/2023,Not Closed,LMS,LMS,182
578969,02/06/2023,123,22/11/2023,Movin Legal,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,22/11/2023,Not Closed,Movin Legal,Movin Legal,175
580671,07/06/2023,120,22/11/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,170
581489,09/06/2023,118,22/11/2023,ULS,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Sale,15/11/2023,Not Closed,E Conveyancer ,ULS,168
582098,12/06/2023,117,22/11/2023,Conveyancing Calculator Plugin,Sophie Darlington,Sophie Darlington,Head Office,Conveyancing - Sale,08/11/2023,Not Closed,Main Fees,,165
587236,26/06/2023,107,22/11/2023,Conveyancing Calculator Plugin,Cynthia Moyo,Cynthia Moyo,Head Office,Conveyancing - Sale,22/11/2023,Not Closed,Main Fees,,151
587602,27/06/2023,106,22/11/2023,ULS,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,21/11/2023,Not Closed,E Conveyancer ,ULS,150
592609,10/07/2023,97,22/11/2023,Thornley Groves,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,22/11/2023,Not Closed,Thornley Groves (City Centre),Thornley Groves,137
592973,11/07/2023,96,22/11/2023,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,07/11/2023,Not Closed,E Conveyancer ,ULS,136
593530,12/07/2023,95,22/11/2023,ULS,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,15/11/2023,Not Closed,E Conveyancer ,ULS,135
