Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
520371,23/11/2022,266,30/11/2023,ReallyMoving Webhook,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,03/04/2023,Not Closed,Really Moving ,ReallyMoving,376
560741,14/04/2023,164,30/11/2023,Movin Legal,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,28/11/2023,Not Closed,Movin Legal,Movin Legal,234
571719,15/05/2023,143,30/11/2023,Thornley Groves,Archive,Archive,Head Office,Conveyancing - Sale,23/11/2023,Not Closed,Thornley Groves,Thornley Groves,203
571726,15/05/2023,143,30/11/2023,Thornley Groves,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,23/11/2023,Not Closed,Thornley Groves,Thornley Groves,203
573128,18/05/2023,140,30/11/2023,Movin Legal,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,30/11/2023,Not Closed,Movin Legal,Movin Legal,200
575424,24/05/2023,136,30/11/2023,ULS,Michelle Cabral-Syers,Michelle Cabral-Syers,Head Office,Conveyancing - Sale,10/11/2023,Not Closed,E Conveyancer ,ULS,194
575430,24/05/2023,136,30/11/2023,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,10/11/2023,Not Closed,E Conveyancer ,ULS,194
578290,01/06/2023,130,30/11/2023,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,29/11/2023,Not Closed,E Conveyancer ,ULS,186
578292,01/06/2023,130,30/11/2023,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,29/11/2023,Not Closed,E Conveyancer ,ULS,186
582359,12/06/2023,123,30/11/2023,SortRefer,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,01/12/2023,Not Closed,Sort Refer,SortRefer,175
583588,15/06/2023,120,30/11/2023,Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,29/11/2023,Not Closed,Really Moving ,ReallyMoving,172
586918,23/06/2023,114,30/11/2023,Legal Marketing Services,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,164
587410,26/06/2023,113,30/11/2023,SortRefer,salepostcompletion@lpropertylawyers.co.uk,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,03/11/2023,Not Closed,Sort Refer,SortRefer,161
587774,27/06/2023,112,30/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,160
588718,29/06/2023,110,30/11/2023,ULS,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,17/11/2023,Not Closed,E Conveyancer ,ULS,158
588757,29/06/2023,110,30/11/2023,LMS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,LMS,LMS,158
589147,30/06/2023,109,30/11/2023,Conveyancing Plus ,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,30/11/2023,Not Closed,Main Fees,Conveyancing Plus ,157
589827,03/07/2023,108,30/11/2023,ULS,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,17/11/2023,Not Closed,E Conveyancer ,ULS,154
589934,03/07/2023,108,30/11/2023,Clear Legal Services,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,30/11/2023,Not Closed,Clear Legal Solutions,,154
590224,04/07/2023,107,30/11/2023,Movin Legal,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,N/A,Not Closed,Movin Legal,Movin Legal,153
593775,13/07/2023,100,30/11/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,144
595576,17/07/2023,98,30/11/2023,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,30/11/2023,Not Closed,E Conveyancer ,ULS,140
596498,18/07/2023,97,30/11/2023,ULS,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,30/11/2023,Not Closed,E Conveyancer ,ULS,139
