Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
518521,16/11/2022,272,01/12/2023,Skipton Building Society,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,384
520131,23/11/2022,267,01/12/2023,Thornley Groves,Archive,Archive,Head Office,Conveyancing - Sale,24/11/2023,Not Closed,Thornley Groves,Thornley Groves,377
522177,30/11/2022,262,01/12/2023,Skipton ,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,370
547490,06/03/2023,194,01/12/2023,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,274
549936,13/03/2023,189,01/12/2023,SortRefer,Julie Bird,Julie Bird,Head Office,Conveyancing - Purchase,N/A,Fallen Through,Sort Refer,SortRefer,267
550503,14/03/2023,188,01/12/2023,Thornley Groves,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,24/11/2023,Not Closed,Main Fees,Conveyancing Plus ,266
550990,15/03/2023,187,01/12/2023,ULS,Luke  Warrior,Luke  Warrior,Head Office,Conveyancing - Purchase,22/11/2023,Not Closed,E Conveyancer ,ULS,265
554106,24/03/2023,180,01/12/2023,Direct,Archive,Archive,Head Office,Conveyancing - Sale,20/11/2023,Not Closed,Really Moving ,ReallyMoving,256
562844,19/04/2023,162,01/12/2023,Clear Legal Services,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,N/A,Not Closed,Clear Legal Solutions,,230
564000,24/04/2023,159,01/12/2023,Thornley Groves,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,01/12/2023,Not Closed,Thornley Groves,Thornley Groves,225
567173,02/05/2023,153,01/12/2023,United Legal Services,Sophie Darlington,Sophie Darlington,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,217
567665,03/05/2023,152,01/12/2023,SortRefer,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,N/A,Not Closed,Sort Refer,SortRefer,216
569355,09/05/2023,148,01/12/2023,Conveyancing Calculator Plugin,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,25/10/2023,Not Closed,Main Fees,,210
572355,16/05/2023,143,01/12/2023,Direct,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,30/11/2023,Not Closed,Main Fees,,203
573065,18/05/2023,141,01/12/2023,Sort Refer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,201
575494,24/05/2023,137,01/12/2023,Thornley Groves,Archive,Archive,Head Office,Conveyancing - Sale,30/11/2023,Not Closed,Thornley Groves (City Centre),Thornley Groves,195
577066,30/05/2023,133,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,189
577276,30/05/2023,133,01/12/2023,ULS,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,16/11/2023,Not Closed,E Conveyancer ,ULS,189
577398,30/05/2023,133,01/12/2023,Direct,Post Completion Team,Samantha Williams,Head Office,Conveyancing - Purchase,20/11/2023,Not Closed,Main Fees,,189
578578,02/06/2023,130,01/12/2023,ULS,Julie Bird,Julie Bird,Head Office,Conveyancing - Purchase,22/11/2023,Not Closed,E Conveyancer ,ULS,186
579407,05/06/2023,129,01/12/2023,Direct,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,01/12/2023,Not Closed,Main Fees,,183
579452,05/06/2023,129,01/12/2023,Movin Legal,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,183
580861,08/06/2023,126,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,180
581148,08/06/2023,126,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,180
581447,09/06/2023,125,01/12/2023,Legal Marketing Services,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,08/11/2023,Not Closed,LMS,LMS,179
581462,09/06/2023,125,01/12/2023,SortRefer,Charlie Wood,Charlie Wood,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,179
581497,09/06/2023,125,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,179
581670,09/06/2023,125,01/12/2023,Panel: Local Conveyancing Quote,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,N/A,Not Closed,LCQ,Local Conveyancing Quote,179
581694,09/06/2023,125,01/12/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,179
582262,12/06/2023,124,01/12/2023,CAL Integration,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,176
582274,12/06/2023,124,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,176
582278,12/06/2023,124,01/12/2023,SortRefer,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,176
582815,13/06/2023,123,01/12/2023,Movin Legal,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,175
583080,14/06/2023,122,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,174
583338,14/06/2023,122,01/12/2023,CAL Integration,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,174
583577,15/06/2023,121,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,173
583640,15/06/2023,121,01/12/2023,ULS,Post Completion Team,Support 5,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,173
