Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
524628,07-12-2022,303,05-02-2024,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,05-02-2024,Not Closed,LMS,LMS,427
569505,09-05-2023,194,05-02-2024,United Legal Services,Post Completion Team,Sharia Murphy,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,274
588183,28-06-2023,158,05-02-2024,SortRefer,Post Completion Team,support9@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,224
604626,10-08-2023,127,05-02-2024,ULS,Post Completion Team,Outsource Post Completion,Head Office,Conveyancing - Purchase,01-02-2024,Not Closed,E Conveyancer ,ULS,181
616391,14-08-2023,125,05-02-2024,,Post Completion Team,support9@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,177
617099,15-08-2023,124,05-02-2024,,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,18-01-2024,Not Closed,LMS,LMS,176
628570,20-09-2023,98,05-02-2024,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,140
630021,25-09-2023,95,05-02-2024,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,31-01-2024,Not Closed,E Conveyancer ,ULS,135
631824,29-09-2023,91,05-02-2024,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ TRB,Local Conveyancing Quote,131
649770,05-10-2023,87,05-02-2024,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,31-01-2024,Not Closed,E Conveyancer ,ULS,125
657308,26-10-2023,72,05-02-2024,TM connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage LEASEHOLD (CDPL Limited) ,Sequence Leasehold Remortgage CDPL,104
660717,03-11-2023,66,05-02-2024,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,,96
663168,10-11-2023,61,05-02-2024,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,30-01-2024,Not Closed,LMS,LMS,89
667290,23-11-2023,52,05-02-2024,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,76
670205,01-12-2023,46,05-02-2024,,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,68
672539,11-12-2023,40,05-02-2024,TM Connect ,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,58
672555,11-12-2023,40,05-02-2024,Direct,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ TRB,Local Conveyancing Quote,58
674827,19-12-2023,34,05-02-2024,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,50
675767,21-12-2023,32,05-02-2024,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,48
677701,08-01-2024,20,05-02-2024,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,30
680134,15-01-2024,15,05-02-2024,Panel: Local Conveyancing Quote,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LCQ TRB,Local Conveyancing Quote,23
