Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
515684,07/11/2022,381,23/04/2024,Freehold,United Legal Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,535
661384,07/11/2023,120,23/04/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,03/04/2024,Not Closed,E Conveyancer ,ULS,170
664003,14/11/2023,115,23/04/2024,Leasehold,CP Really Moving,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,CP Really Moving,163
666526,21/11/2023,110,23/04/2024,Leasehold,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,19/04/2024,Not Closed,LMS,LMS,156
683906,25/01/2024,63,23/04/2024,Freehold,ULS,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,91
687035,02/02/2024,57,23/04/2024,Freehold,CAL Integration,Johnathon  Wright,Johnathon  Wright,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancing Alliance,CAL,83
688550,06/02/2024,55,23/04/2024,Freehold,,Susan Burrell,Susan Burrell,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,79
689194,07/02/2024,54,23/04/2024,Leasehold,SortRefer,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,18/04/2024,Not Closed,Sort Refer,SortRefer,78
698900,04/03/2024,36,23/04/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,19/04/2024,Not Closed,LMS,LMS,52
700454,07/03/2024,33,23/04/2024,Freehold,Direct,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,23/04/2024,Not Closed,Main Fees,,49
703902,15/03/2024,27,23/04/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,41
711115,18/03/2024,26,23/04/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,38
713612,22/03/2024,22,23/04/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,34
716850,03/04/2024,14,23/04/2024,Leasehold,ULS,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,22
