Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
567948,03/05/2023,259,30/04/2024,Leasehold,CAL Integration,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,18/03/2024,Not Closed,Conveyancing Alliance,CAL,365
620114,24/08/2023,178,30/04/2024,Leasehold,CP Really Moving,Halima Nasir,Halima Nasir,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,Conveyancer Plus,CP Really Moving,252
632075,29/09/2023,152,30/04/2024,Leasehold,United Legal Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,E Conveyancer ,BM,216
651970,11/10/2023,144,30/04/2024,Freehold,Sort Refer,Keanan Harrison,Keanan Harrison,Head Office,Conveyancing - Purchase,N/A,Not Closed,Sort Refer,SortRefer,204
658965,30/10/2023,131,30/04/2024,Leasehold,Movin Legal,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,16/04/2024,Not Closed,Movin Legal,Movin Legal,185
662635,09/11/2023,123,30/04/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,29/04/2024,Not Closed,E Conveyancer ,ULS,175
665234,17/11/2023,117,30/04/2024,Freehold,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,167
666355,21/11/2023,115,30/04/2024,Freehold,Legal Marketing Services,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,23/04/2024,Not Closed,LMS,LMS,163
666480,21/11/2023,115,30/04/2024,Freehold,Legal Marketing Services,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,22/04/2024,Not Closed,LMS,LMS,163
666998,22/11/2023,114,30/04/2024,Freehold,Legal Marketing Services,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,26/04/2024,Not Closed,LMS,LMS,162
667814,24/11/2023,112,30/04/2024,Leasehold,United Legal Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,BM,160
670241,01/12/2023,107,30/04/2024,Leasehold,ULS,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,24/04/2024,Not Closed,E Conveyancer ,ULS,153
670582,04/12/2023,106,30/04/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,150
672455,11/12/2023,101,30/04/2024,Leasehold,ULS,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,26/04/2024,Not Closed,E Conveyancer ,ULS,143
673481,13/12/2023,99,30/04/2024,Freehold,CP Really Moving,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,17/04/2024,Not Closed,Conveyancer Plus,,141
673483,13/12/2023,99,30/04/2024,Freehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,17/04/2024,Not Closed,Conveyancer Plus,,141
673886,14/12/2023,98,30/04/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,ULS,140
674917,19/12/2023,95,30/04/2024,Leasehold,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,135
678828,10/01/2024,79,30/04/2024,Leasehold,,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,24/04/2024,Not Closed,Main Fees,,113
680569,16/01/2024,75,30/04/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,107
683875,25/01/2024,68,30/04/2024,Leasehold,United Legal Services,Clare Miller,Clare Miller,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,BM ,BM,98
685522,30/01/2024,65,30/04/2024,Freehold,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,29/04/2024,Not Closed,E Conveyancer ,ULS,93
686383,31/01/2024,64,30/04/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,92
687364,02/02/2024,62,30/04/2024,Leasehold,Legal Marketing Services,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,LMS,LMS,90
687606,05/02/2024,61,30/04/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,Conveyancing Alliance,CAL,87
687820,05/02/2024,61,30/04/2024,Leasehold,Fix My Legals,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Fix My Legals - Cashback Remortgage,Fix My Legals,87
690298,12/02/2024,56,30/04/2024,Freehold,Direct,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Main Fees,,80
691120,13/02/2024,55,30/04/2024,Freehold,ULS,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,79
691779,14/02/2024,54,30/04/2024,Leasehold,CAL Integration,Daniel Gardner,Daniel Gardner,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,78
693354,19/02/2024,51,30/04/2024,Freehold,ULS,Soh Sohail,Soh Sohail,Head Office,Conveyancing - Purchase,23/04/2024,Not Closed,E Conveyancer ,ULS,73
694947,22/02/2024,48,30/04/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,25/04/2024,Not Closed,E Conveyancer ,ULS,70
697198,28/02/2024,44,30/04/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,64
697516,28/02/2024,44,30/04/2024,Freehold,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,64
699963,06/03/2024,39,30/04/2024,Freehold,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,E Conveyancer ,ULS,57
702140,12/03/2024,35,30/04/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,51
711698,19/03/2024,30,30/04/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,44
715758,28/03/2024,23,30/04/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Main Fees,,35
716289,02/04/2024,20,30/04/2024,Freehold,Legal Marketing Services,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,N/A,Not Closed,LMS,LMS,30
