Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
628162,19/09/2023,161,01/05/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,02/04/2024,Not Closed,E Conveyancer ,ULS,227
629847,25/09/2023,157,01/05/2024,Freehold,Direct,Simona Ralyte,Simona Ralyte,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,Main Fees,,221
649642,04/10/2023,150,01/05/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,LMS,LMS,212
657195,25/10/2023,135,01/05/2024,Leasehold,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,LMS,LMS,191
658770,30/10/2023,132,01/05/2024,Freehold,Panel: Local Conveyancing Quote,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,LCQ,Local Conveyancing Quote,186
659695,01/11/2023,130,01/05/2024,Freehold,Sequence,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage LEASEHOLD (CDPL Limited) ,Sequence Leasehold Remortgage CDPL,184
661334,07/11/2023,126,01/05/2024,Leasehold,Direct,Michael  Collins,Michael  Collins,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,Main Fees,,178
661592,07/11/2023,126,01/05/2024,Freehold,tm connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,178
661773,08/11/2023,125,01/05/2024,Freehold,tm connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,177
661848,08/11/2023,125,01/05/2024,Leasehold,CP Really Moving,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,Conveyancer Plus,,177
662077,08/11/2023,125,01/05/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,177
664192,14/11/2023,121,01/05/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,171
664358,15/11/2023,120,01/05/2024,Freehold,tm connect,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,,170
664646,15/11/2023,120,01/05/2024,Leasehold,SortRefer,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,11/04/2024,Not Closed,Sort Refer,SortRefer,170
665765,20/11/2023,117,01/05/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,165
