Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
623540,05/09/2023,172,02/05/2024,Freehold,Legal Marketing Services,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,LMS,LMS,245
623923,06/09/2023,171,02/05/2024,Freehold,Direct,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,02/05/2024,Not Closed,Main Fees,,244
651560,10/10/2023,147,02/05/2024,Freehold,Fix My Legals,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Fix My Legals - Cashback Remortgage,Fix My Legals,210
666441,21/11/2023,117,02/05/2024,Leasehold,Really Moving,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,01/05/2024,Not Closed,Conveyancer Plus,CP Really Moving,168
669766,30/11/2023,110,02/05/2024,Freehold,SortRefer,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,159
670229,01/12/2023,109,02/05/2024,Freehold,SortRefer,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,158
671438,06/12/2023,106,02/05/2024,Leasehold,ReallyMoving Webhook,Johnathon  Wright,Johnathon  Wright,Head Office,Conveyancing - Sale,25/04/2024,Not Closed,Really Moving ,ReallyMoving,153
678373,09/01/2024,82,02/05/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,24/04/2024,Not Closed,Conveyancing Alliance,CAL,119
678376,09/01/2024,82,02/05/2024,Leasehold,CAL Integration,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,24/04/2024,Not Closed,Conveyancing Alliance,CAL,119
678418,09/01/2024,82,02/05/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,119
680246,15/01/2024,78,02/05/2024,Leasehold,,Charlotte Vining,Charlotte Vining,Head Office,Conveyancing - Purchase,02/05/2024,Not Closed,E Conveyancer ,ULS,113
680701,16/01/2024,77,02/05/2024,Freehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,112
680812,17/01/2024,76,02/05/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,111
681398,18/01/2024,75,02/05/2024,Freehold,ULS,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,19/04/2024,On Hold,E Conveyancer ,ULS,110
682096,19/01/2024,74,02/05/2024,Leasehold,Legal Marketing Services,Gemma Calcott,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,30/04/2024,Not Closed,LMS,LMS,109
684179,25/01/2024,70,02/05/2024,Leasehold,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,25/04/2024,Not Closed,LMS,LMS,103
