Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
578860,02/06/2023,252,21/05/2024,Leasehold,SortRefer,Post Completion Team,Angela Hall,Head Office,Conveyancing - Purchase,21/05/2024,Not Closed,Sort Refer,SortRefer,356
602036,02/08/2023,209,21/05/2024,Freehold,Direct,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,14/05/2024,Not Closed,Main Fees,,295
657355,26/10/2023,148,21/05/2024,Leasehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,ULS,210
663340,13/11/2023,136,21/05/2024,Freehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/05/2024,Not Closed,Conveyancer Plus,,192
664177,14/11/2023,135,21/05/2024,Freehold,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,17/05/2024,Not Closed,E Conveyancer ,ULS,191
671209,05/12/2023,120,21/05/2024,Freehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,CP Really Moving,170
691143,13/02/2024,70,21/05/2024,Leasehold,Tm Connect,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Sequence re-mortgage LEASEHOLD (CDPL Limited) ,Sequence Leasehold Remortgage CDPL,100
697775,29/02/2024,58,21/05/2024,Freehold,CP Really Moving,Ronika  Orr,Ronika  Orr,Head Office,Conveyancing - Purchase,17/05/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,84
702132,12/03/2024,50,21/05/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,72
702982,13/03/2024,49,21/05/2024,Freehold,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,17/05/2024,Not Closed,E Conveyancer ,ULS,71
703734,15/03/2024,47,21/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,69
711869,19/03/2024,45,21/05/2024,Freehold,,Susan Burrell,Susan Burrell,Head Office,Remortgage,N/A,Not Closed,Main Fees,,65
713220,22/03/2024,42,21/05/2024,Leasehold,Skipton,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,62
715628,28/03/2024,38,21/05/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,56
717916,05/04/2024,32,21/05/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,48
720400,11/04/2024,28,21/05/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,42
721564,15/04/2024,26,21/05/2024,Freehold,CAL Integration,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,38
721778,15/04/2024,26,21/05/2024,Freehold,CAL Integration,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,38
731245,25/04/2024,18,21/05/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,28
