Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
655074,19/10/2023,155,23/05/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,21/05/2024,Not Closed,E Conveyancer ,ULS,222
660714,03/11/2023,144,23/05/2024,Leasehold,United Legal Services,Sophie Darlington,Sophie Darlington,Head Office,Conveyancing - Purchase,23/05/2024,Not Closed,E Conveyancer ,,207
662118,08/11/2023,141,23/05/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,23/05/2024,Not Closed,E Conveyancer ,ULS,202
662538,09/11/2023,140,23/05/2024,Leasehold,CAL Integration,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,16/05/2024,Not Closed,Conveyancing Alliance,CAL,201
668484,27/11/2023,128,23/05/2024,,Direct,Amy  Sutton,Amy  Sutton,Head Office,Conveyancing - Purchase,N/A,Not Closed,Main Fees,,183
673637,14/12/2023,115,23/05/2024,Freehold,Direct,Amy  Sutton,Amy  Sutton,Head Office,Conveyancing - Sale,08/05/2024,Not Closed,Main Fees,,166
678129,09/01/2024,97,23/05/2024,Leasehold,Legal Marketing Services,Post Completion Team,Angela Hall,Head Office,Conveyancing - Purchase,22/05/2024,Not Closed,LMS,LMS,140
684647,26/01/2024,84,23/05/2024,Leasehold,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,22/05/2024,Not Closed,LMS,LMS,123
686581,01/02/2024,80,23/05/2024,Freehold,CAL Integration,Daniel Gardner,Daniel Gardner,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,117
686819,01/02/2024,80,23/05/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,15/05/2024,Not Closed,E Conveyancer ,ULS,117
686822,01/02/2024,80,23/05/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,15/05/2024,Not Closed,E Conveyancer ,ULS,117
687298,02/02/2024,79,23/05/2024,Freehold,CAL Integration,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,116
688105,06/02/2024,77,23/05/2024,Freehold,ULS,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,15/05/2024,On Hold,E Conveyancer ,ULS,112
689861,09/02/2024,74,23/05/2024,Freehold,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,08/05/2024,Not Closed,E Conveyancer ,ULS,109
690482,12/02/2024,73,23/05/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,03/05/2024,Not Closed,E Conveyancer ,ULS,106
691174,13/02/2024,72,23/05/2024,Freehold,United Legal Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,22/05/2024,Not Closed,E Conveyancer ,BM,105
691292,13/02/2024,72,23/05/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,LMS,LMS,105
698846,04/03/2024,58,23/05/2024,Freehold,CAL Integration,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,85
700807,07/03/2024,55,23/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,82
700906,08/03/2024,54,23/05/2024,Freehold,SortRefer,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,23/05/2024,Not Closed,Sort Refer,SortRefer,81
700909,08/03/2024,54,23/05/2024,Freehold,SortRefer,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,23/05/2024,Not Closed,Sort Refer,SortRefer,81
716343,02/04/2024,37,23/05/2024,Freehold,,Johnathon  Wright,Johnathon  Wright,Head Office,Conveyancing - Purchase,N/A,Not Closed,Main Fees,,56
719576,09/04/2024,32,23/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,49
721483,15/04/2024,28,23/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,43
731426,26/04/2024,19,23/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,32
750894,02/05/2024,15,23/05/2024,Freehold,Movin Legal,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Movin Legal,Movin Legal,26
751170,02/05/2024,15,23/05/2024,Freehold,Precise Mortgages ,Post Completion Team,Support 9,Head Office,Remortgage,N/A,On Hold,Kent Reliance Ltd Co BTL Panel FF,Kent Reliance Ltd Co BTL Panel FF,26
