Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days)
627866,19/09/2023,215,16/07/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,11/07/2024,Not Closed,E Conveyancer ,ULS,303
649390,04/10/2023,204,16/07/2024,Freehold,,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,16/07/2024,Not Closed,E Conveyancer ,ULS,288
657770,27/10/2023,187,16/07/2024,Leasehold,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society,265
666972,22/11/2023,169,16/07/2024,Freehold,Direct,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,Main Fees,,239
689864,09/02/2024,112,16/07/2024,Freehold,SortRefer,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,16/07/2024,On Hold,Sort Refer,SortRefer,160
692528,16/02/2024,107,16/07/2024,Freehold,CAL Integration,Post Completion Team,Support 9,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,153
700652,07/03/2024,93,16/07/2024,Freehold,Legal Marketing Services,Johnathon  Wright,Johnathon  Wright,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,LMS,LMS,133
701025,08/03/2024,92,16/07/2024,Freehold,CAL Integration,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,11/07/2024,Not Closed,Conveyancing Alliance,CAL,132
701028,08/03/2024,92,16/07/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,11/07/2024,Not Closed,Conveyancing Alliance,CAL,132
712205,20/03/2024,84,16/07/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,E Conveyancer ,ULS,120
712786,21/03/2024,83,16/07/2024,Freehold,ULS,Post Completion Team,Support 6,Head Office,Conveyancing - Purchase,15/07/2024,On Hold,E Conveyancer ,ULS,119
715196,27/03/2024,79,16/07/2024,Leasehold,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,113
715224,27/03/2024,79,16/07/2024,Leasehold,,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,Conveyancer Plus,Conveyancer Plus,113
716243,02/04/2024,75,16/07/2024,Leasehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,10/07/2024,Not Closed,E Conveyancer ,ULS,107
716463,02/04/2024,75,16/07/2024,Freehold,United Legal Services,Nicolas Foy,Nicolas Foy,Head Office,Conveyancing - Purchase,10/07/2024,Not Closed,E Conveyancer ,BM,107
717489,04/04/2024,73,16/07/2024,Freehold,Legal Marketing Services,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,LMS,LMS,105
719209,09/04/2024,70,16/07/2024,Freehold,ReallyMoving Webhook,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Really Moving ,ReallyMoving,100
719259,09/04/2024,70,16/07/2024,Freehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,100
720891,12/04/2024,67,16/07/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,97
722770,17/04/2024,64,16/07/2024,Leasehold,Value Conveyancer One,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,02/07/2024,Not Closed,Value Conveyancer One,Value Conveyancer,92
753876,10/05/2024,47,16/07/2024,Leasehold,SortRefer,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,69
754177,10/05/2024,47,16/07/2024,Freehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,09/07/2024,Not Closed,Conveyancing Alliance,CAL,69
754619,13/05/2024,46,16/07/2024,Freehold,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,16/07/2024,Not Closed,E Conveyancer ,ULS,66
755608,15/05/2024,44,16/07/2024,Leasehold,Legal Marketing Services,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,LMS,LMS,64
756452,16/05/2024,43,16/07/2024,,CAL Integration,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,63
757216,17/05/2024,42,16/07/2024,Freehold,Movin Legal,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,62
759393,23/05/2024,38,16/07/2024,Freehold,TM Connect ,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,56
764767,06/06/2024,28,16/07/2024,Freehold,Movin Legal,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,42
