Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days),Quill Reference
602210,03/08/2023,256,26/07/2024,Freehold,,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,25/07/2024,Not Closed,Sort Refer,SortRefer,362,602210
623141,04/09/2023,234,26/07/2024,Leasehold,Direct,George  Bokuchava,Krisella Lyons,Head Office,Conveyancing - Purchase,25/07/2024,Not Closed,Main Fees,,330,623141
629463,22/09/2023,220,26/07/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,11/07/2024,Not Closed,E Conveyancer ,ULS,312,629463
630039,25/09/2023,219,26/07/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,23/07/2024,Not Closed,E Conveyancer ,ULS,309,630039
630731,27/09/2023,217,26/07/2024,Freehold,ULS,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,26/07/2024,Not Closed,E Conveyancer ,ULS,307,630731
651958,11/10/2023,207,26/07/2024,Freehold,CP Really Moving,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,25/07/2024,Not Closed,Conveyancer Plus,CP Really Moving,293,651958
666171,21/11/2023,178,26/07/2024,Leasehold,Direct,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,26/07/2024,Not Closed,Main Fees,,252,666171
666172,21/11/2023,178,26/07/2024,Leasehold,Direct,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,26/07/2024,Not Closed,Main Fees,,252,666172
676448,02/01/2024,148,26/07/2024,Freehold,Conveyancing Plus ,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,26/07/2024,Not Closed,Conveyancer Plus,Conveyancer Plus,210,676448
680554,16/01/2024,138,26/07/2024,Leasehold,Direct,Post Completion Team,Gina Fryer,Head Office,Conveyancing - Purchase,19/07/2024,Not Closed,Main Fees,,196,680554
