Case ID,Case created on,Days Between Start & Completion,Completion Date,Property Tenure,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company,Case age (Days),Quill Reference
585613,21/06/2023,296,08/08/2024,Freehold,ULS,Post Completion Team,Support 6,Head Office,Remortgage,N/A,On Hold,E Conveyancer ,ULS,418,585613
631870,29/09/2023,224,08/08/2024,Freehold,Legal Marketing Services,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,05/08/2024,Not Closed,LMS,LMS,318,631870
652186,12/10/2023,215,08/08/2024,Leasehold,CP Really Moving,Post Completion Team,Jason  Smith,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Conveyancer Plus,CP Really Moving,305,652186
664094,14/11/2023,192,08/08/2024,Freehold,tm connect,Post Completion Team,Support 6,Head Office,Remortgage,N/A,On Hold,Sequence re-mortgage STANDARD (CDPL Limited) ,Conveyancing Direct Property Law ,272,664094
674945,19/12/2023,167,08/08/2024,Leasehold,Movin Legal,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Sale,22/07/2024,Not Closed,Movin Legal,Movin Legal,237,674945
674952,19/12/2023,167,08/08/2024,Freehold,Movin Legal,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,22/07/2024,Not Closed,Movin Legal,Movin Legal,237,674952
682142,19/01/2024,144,08/08/2024,Leasehold,United Legal Services,Charlotte Vining,Charlotte Vining,Head Office,Conveyancing - Purchase,N/A,Not Closed,BM ,BM,206,682142
696833,27/02/2024,117,08/08/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,ULS,167,696833
697237,28/02/2024,116,08/08/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,23/07/2024,Not Closed,E Conveyancer ,ULS,166,697237
697713,29/02/2024,115,08/08/2024,Leasehold,CP Really Moving,Post Completion Team,Janet Slattery,Head Office,Conveyancing - Purchase,25/07/2024,Not Closed,Conveyancer Plus Really Moving,Conveyancer Plus,165,697713
697909,29/02/2024,115,08/08/2024,Freehold,ULS,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,06/08/2024,Not Closed,E Conveyancer ,ULS,165,697909
699168,04/03/2024,113,08/08/2024,Freehold,Clear Legal Solutions,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,08/08/2024,Not Closed,Clear Legal Solutions,Clear Legal Solutions,161,699168
699953,06/03/2024,111,08/08/2024,Freehold,ULS,Morgan Dalton,Morgan Dalton,Head Office,Conveyancing - Sale,06/08/2024,Not Closed,E Conveyancer ,ULS,159,699953
703951,15/03/2024,104,08/08/2024,Freehold,CAL Integration,Veronica  Miskell,Veronica  Miskell,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,150,
718239,05/04/2024,89,08/08/2024,Freehold,ULS,Timothy Asemota,Timothy Asemota,Head Office,Conveyancing - Purchase,N/A,Not Closed,E Conveyancer ,ULS,129,718239
721995,16/04/2024,82,08/08/2024,Freehold,SortRefer,Post Completion Team,Janet Slattery,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Sort Refer,SortRefer,118,721995
729071,22/04/2024,78,08/08/2024,Freehold,,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,08/08/2024,Not Closed,Sort Refer,SortRefer,112,729071
729221,22/04/2024,78,08/08/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,112,729221
730489,24/04/2024,76,08/08/2024,Freehold,Movin Legal,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Movin Legal,Movin Legal,110,
731278,25/04/2024,75,08/08/2024,Freehold,CAL Integration,Archive,Archive,Head Office,Conveyancing - Sale,30/07/2024,Not Closed,Conveyancing Alliance,CAL,109,731278
732953,30/04/2024,72,08/08/2024,Freehold,CAL Integration,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,104,
733073,30/04/2024,72,08/08/2024,Freehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,30/07/2024,Not Closed,Conveyancing Alliance,CAL,104,733073
751786,03/05/2024,69,08/08/2024,Leasehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,02/08/2024,Not Closed,Conveyancing Alliance,CAL,101,751786
752884,08/05/2024,66,08/08/2024,Freehold,ULS,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,96,
754635,13/05/2024,63,08/08/2024,Leasehold,CAL Integration,Post Completion Team,remopostcompletion@leadingpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,91,754635
758374,21/05/2024,57,08/08/2024,Freehold,CAL Integration,Post Completion Team,Support 2,Head Office,Conveyancing - Purchase,26/07/2024,Not Closed,Conveyancing Alliance,CAL,83,
759323,23/05/2024,55,08/08/2024,Leasehold,CAL Integration,Daniel Gardner,Daniel Gardner,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,81,759323
760944,28/05/2024,52,08/08/2024,Freehold,SortRefer,purchasepostcompletion@leadingpropertylawyers.co.uk,Post Completion Team,Head Office,Conveyancing - Purchase,07/08/2024,Not Closed,Sort Refer,SortRefer,76,760944
761811,30/05/2024,50,08/08/2024,Freehold,SortRefer,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Sort Refer,SortRefer,74,761811
762821,01/06/2024,48,08/08/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,Not Closed,Conveyancing Alliance,CAL,72,762821
771260,21/06/2024,34,08/08/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,52,771260
771472,21/06/2024,34,08/08/2024,Freehold,ULS,Leah Webb,Leah Webb,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS,52,771472
772743,25/06/2024,32,08/08/2024,Freehold,CAL Integration,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Conveyancing Alliance,CAL,48,772743
851925,15/07/2024,18,08/08/2024,Freehold,SortRefer,Post Completion Team,Support 3,Head Office,Remortgage,N/A,On Hold,Sort Refer,SortRefer,28,851925
