Case ID,Case created on,Days Between Start & Completion,Completion Date,Source of Person,Fee Earner,Case Worker,Branch,Case Type,Exchange Date,Case Status,Quote Calculator,Referrer Company
508742,11/10/2022,255,03/10/2023,Skipton Building Society ,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
544079,23/02/2023,158,03/10/2023,,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,03/10/2023,Not Closed,Main Fees,
544168,23/02/2023,158,03/10/2023,Legal Marketing Services,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,26/09/2023,Not Closed,LMS,LMS
551386,16/03/2023,143,03/10/2023,Conveyancing Calculator Plugin,Post Completion Team,salepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,18/09/2023,Not Closed,Really Moving ,ReallyMoving
559324,11/04/2023,125,03/10/2023,SortRefer,Sonia Bains,Sonia Bains,Head Office,Conveyancing - Purchase,21/09/2023,Not Closed,Sort Refer,SortRefer
573585,19/05/2023,97,03/10/2023,Conveyancing Alliance,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,03/10/2023,Not Closed,Conveyancing Alliance,CAL
573903,19/05/2023,97,03/10/2023,Direct,Post Completion Team,Ramya Wijewardana,Head Office,Conveyancing - Purchase,02/10/2023,Not Closed,Main Fees,Conveyancing Plus 
577890,31/05/2023,89,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
581234,08/06/2023,83,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
582594,13/06/2023,80,03/10/2023,Legal Marketing Services,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Sale,15/09/2023,Not Closed,LMS,LMS
583565,15/06/2023,78,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
584248,16/06/2023,77,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
587918,27/06/2023,70,03/10/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
589195,30/06/2023,67,03/10/2023,ULS,Charley Hutchinson,Charley Hutchinson,Head Office,Conveyancing - Purchase,27/09/2023,Not Closed,E Conveyancer ,ULS
590340,04/07/2023,65,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
591912,07/07/2023,62,03/10/2023,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,03/10/2023,Not Closed,E Conveyancer ,ULS
593837,13/07/2023,58,03/10/2023,Skipton Building Society,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
596890,19/07/2023,54,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
598646,25/07/2023,50,03/10/2023,ULS,Post Completion Team,purchasepostcompletion@lpropertylawyers.co.uk,Head Office,Conveyancing - Purchase,02/10/2023,Not Closed,E Conveyancer ,ULS
616544,14/08/2023,36,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
617560,16/08/2023,34,03/10/2023,Legal Marketing Services,purchasepostcompletion@lpropertylawyers.co.uk,Post Completion Team,Head Office,Conveyancing - Purchase,03/10/2023,Not Closed,LMS,LMS
623094,04/09/2023,21,03/10/2023,ULS,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,E Conveyancer ,ULS
624006,06/09/2023,19,03/10/2023,Skipton,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,Conveyancing Direct Property Lawyers (Skipton),Skipton Building Society
628577,20/09/2023,9,03/10/2023,Legal Marketing Services,Post Completion Team,remopostcompletion@lpropertylawyers.co.uk,Head Office,Remortgage,N/A,Not Closed,LMS,LMS
