%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,729905,23/04/2024
7,BLUE TEAM,BLUE TEAM,729805,23/04/2024
7,BLUE TEAM,BLUE TEAM,729659,23/04/2024
6,BLUE TEAM,BLUE TEAM,729582,23/04/2024
7,BLUE TEAM,BLUE TEAM,729354,22/04/2024
7,BLUE TEAM,BLUE TEAM,729326,22/04/2024
7,BLUE TEAM,BLUE TEAM,729281,22/04/2024
7,BLUE TEAM,BLUE TEAM,729102,22/04/2024
7,BLUE TEAM,BLUE TEAM,729075,22/04/2024
7,BLUE TEAM,BLUE TEAM,728915,22/04/2024
7,BLUE TEAM,BLUE TEAM,728905,22/04/2024
7,BLUE TEAM,BLUE TEAM,724262,19/04/2024
7,BLUE TEAM,BLUE TEAM,724188,19/04/2024
7,BLUE TEAM,BLUE TEAM,724167,19/04/2024
7,BLUE TEAM,BLUE TEAM,724136,19/04/2024
7,BLUE TEAM,BLUE TEAM,724085,19/04/2024
7,BLUE TEAM,BLUE TEAM,724002,19/04/2024
7,BLUE TEAM,BLUE TEAM,723977,19/04/2024
7,BLUE TEAM,BLUE TEAM,723968,19/04/2024
7,BLUE TEAM,BLUE TEAM,723939,19/04/2024
7,BLUE TEAM,BLUE TEAM,723905,19/04/2024
7,BLUE TEAM,BLUE TEAM,723761,18/04/2024
7,BLUE TEAM,BLUE TEAM,723752,18/04/2024
7,BLUE TEAM,BLUE TEAM,723725,18/04/2024
7,BLUE TEAM,BLUE TEAM,723631,18/04/2024
7,BLUE TEAM,BLUE TEAM,723617,18/04/2024
7,BLUE TEAM,BLUE TEAM,723538,18/04/2024
7,BLUE TEAM,BLUE TEAM,723504,18/04/2024
7,BLUE TEAM,BLUE TEAM,723494,18/04/2024
7,BLUE TEAM,BLUE TEAM,723384,18/04/2024
7,BLUE TEAM,BLUE TEAM,723373,18/04/2024
7,BLUE TEAM,BLUE TEAM,723367,18/04/2024
7,BLUE TEAM,BLUE TEAM,723198,17/04/2024
7,BLUE TEAM,BLUE TEAM,723114,17/04/2024
7,BLUE TEAM,BLUE TEAM,723106,17/04/2024
6,BLUE TEAM,BLUE TEAM,723101,17/04/2024
7,BLUE TEAM,BLUE TEAM,723073,17/04/2024
7,BLUE TEAM,BLUE TEAM,723027,17/04/2024
7,BLUE TEAM,BLUE TEAM,723017,17/04/2024
7,BLUE TEAM,BLUE TEAM,723010,17/04/2024
7,BLUE TEAM,BLUE TEAM,722993,17/04/2024
7,BLUE TEAM,BLUE TEAM,722972,17/04/2024
7,BLUE TEAM,BLUE TEAM,722809,17/04/2024
7,BLUE TEAM,BLUE TEAM,722776,17/04/2024
7,BLUE TEAM,BLUE TEAM,722770,17/04/2024
7,BLUE TEAM,BLUE TEAM,722731,17/04/2024
7,BLUE TEAM,BLUE TEAM,722728,17/04/2024
7,BLUE TEAM,BLUE TEAM,722687,17/04/2024
7,BLUE TEAM,BLUE TEAM,722676,17/04/2024
7,BLUE TEAM,BLUE TEAM,722589,16/04/2024
7,BLUE TEAM,BLUE TEAM,722586,16/04/2024
7,BLUE TEAM,BLUE TEAM,722580,16/04/2024
7,BLUE TEAM,BLUE TEAM,722575,16/04/2024
6,BLUE TEAM,BLUE TEAM,722573,16/04/2024
7,BLUE TEAM,BLUE TEAM,722523,16/04/2024
7,BLUE TEAM,BLUE TEAM,722516,16/04/2024
7,BLUE TEAM,BLUE TEAM,722503,16/04/2024
7,BLUE TEAM,BLUE TEAM,722490,16/04/2024
14,BLUE TEAM,Charleigh Mollins,722489,16/04/2024
7,BLUE TEAM,BLUE TEAM,722467,16/04/2024
7,BLUE TEAM,BLUE TEAM,722414,16/04/2024
7,BLUE TEAM,BLUE TEAM,722391,16/04/2024
7,BLUE TEAM,BLUE TEAM,722177,16/04/2024
7,BLUE TEAM,BLUE TEAM,722174,16/04/2024
7,BLUE TEAM,BLUE TEAM,722154,16/04/2024
7,BLUE TEAM,BLUE TEAM,722141,16/04/2024
7,BLUE TEAM,BLUE TEAM,722124,16/04/2024
7,BLUE TEAM,BLUE TEAM,722114,16/04/2024
7,BLUE TEAM,BLUE TEAM,722088,16/04/2024
7,BLUE TEAM,BLUE TEAM,722004,16/04/2024
7,BLUE TEAM,BLUE TEAM,721995,16/04/2024
7,BLUE TEAM,BLUE TEAM,721913,15/04/2024
7,BLUE TEAM,BLUE TEAM,721905,15/04/2024
7,BLUE TEAM,BLUE TEAM,721894,15/04/2024
7,BLUE TEAM,BLUE TEAM,721844,15/04/2024
7,BLUE TEAM,BLUE TEAM,721830,15/04/2024
7,BLUE TEAM,BLUE TEAM,721806,15/04/2024
7,BLUE TEAM,BLUE TEAM,721757,15/04/2024
14,BLUE TEAM,BLUE TEAM,721626,15/04/2024
7,BLUE TEAM,BLUE TEAM,721613,15/04/2024
7,BLUE TEAM,BLUE TEAM,721601,15/04/2024
7,BLUE TEAM,BLUE TEAM,721593,15/04/2024
7,BLUE TEAM,BLUE TEAM,721535,15/04/2024
7,BLUE TEAM,BLUE TEAM,721512,15/04/2024
7,BLUE TEAM,BLUE TEAM,721502,15/04/2024
6,BLUE TEAM,BLUE TEAM,721214,12/04/2024
7,BLUE TEAM,BLUE TEAM,721141,12/04/2024
7,BLUE TEAM,BLUE TEAM,721123,12/04/2024
7,BLUE TEAM,BLUE TEAM,721022,12/04/2024
7,BLUE TEAM,BLUE TEAM,720978,12/04/2024
7,BLUE TEAM,BLUE TEAM,720886,12/04/2024
7,BLUE TEAM,BLUE TEAM,720884,12/04/2024
7,BLUE TEAM,BLUE TEAM,720845,12/04/2024
7,BLUE TEAM,BLUE TEAM,720827,12/04/2024
6,BLUE TEAM,BLUE TEAM,720745,11/04/2024
7,BLUE TEAM,BLUE TEAM,720731,11/04/2024
7,BLUE TEAM,BLUE TEAM,720691,11/04/2024
7,BLUE TEAM,BLUE TEAM,720585,11/04/2024
7,BLUE TEAM,BLUE TEAM,720569,11/04/2024
7,BLUE TEAM,BLUE TEAM,720563,11/04/2024
7,BLUE TEAM,BLUE TEAM,720535,11/04/2024
7,BLUE TEAM,BLUE TEAM,720520,11/04/2024
7,BLUE TEAM,BLUE TEAM,720494,11/04/2024
7,BLUE TEAM,BLUE TEAM,720449,11/04/2024
7,BLUE TEAM,BLUE TEAM,720439,11/04/2024
7,BLUE TEAM,BLUE TEAM,720354,11/04/2024
6,BLUE TEAM,BLUE TEAM,720239,11/04/2024
7,BLUE TEAM,BLUE TEAM,720234,11/04/2024
7,BLUE TEAM,BLUE TEAM,720078,10/04/2024
6,BLUE TEAM,BLUE TEAM,720043,10/04/2024
6,BLUE TEAM,BLUE TEAM,719885,10/04/2024
7,BLUE TEAM,BLUE TEAM,719857,10/04/2024
7,BLUE TEAM,BLUE TEAM,719804,10/04/2024
7,BLUE TEAM,BLUE TEAM,719671,09/04/2024
7,BLUE TEAM,BLUE TEAM,719595,09/04/2024
7,BLUE TEAM,BLUE TEAM,719548,09/04/2024
7,BLUE TEAM,BLUE TEAM,719536,09/04/2024
7,BLUE TEAM,BLUE TEAM,719513,09/04/2024
7,BLUE TEAM,BLUE TEAM,719462,09/04/2024
7,BLUE TEAM,BLUE TEAM,719385,09/04/2024
