%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,842108,01/07/2024
7,BLUE TEAM,BLUE TEAM,841767,01/07/2024
7,BLUE TEAM,BLUE TEAM,774384,28/06/2024
7,BLUE TEAM,BLUE TEAM,774135,28/06/2024
7,BLUE TEAM,BLUE TEAM,774059,28/06/2024
7,BLUE TEAM,BLUE TEAM,774058,28/06/2024
7,BLUE TEAM,BLUE TEAM,773846,27/06/2024
7,BLUE TEAM,BLUE TEAM,773834,27/06/2024
7,BLUE TEAM,BLUE TEAM,773478,27/06/2024
7,BLUE TEAM,BLUE TEAM,773475,27/06/2024
7,BLUE TEAM,BLUE TEAM,773474,27/06/2024
7,BLUE TEAM,BLUE TEAM,773464,27/06/2024
7,BLUE TEAM,BLUE TEAM,773187,26/06/2024
7,BLUE TEAM,BLUE TEAM,773175,26/06/2024
7,BLUE TEAM,BLUE TEAM,773114,26/06/2024
7,BLUE TEAM,BLUE TEAM,773088,26/06/2024
7,BLUE TEAM,BLUE TEAM,773077,26/06/2024
7,BLUE TEAM,BLUE TEAM,773012,26/06/2024
7,BLUE TEAM,BLUE TEAM,773000,26/06/2024
7,BLUE TEAM,BLUE TEAM,772941,26/06/2024
7,BLUE TEAM,BLUE TEAM,772931,26/06/2024
7,BLUE TEAM,BLUE TEAM,772770,25/06/2024
7,BLUE TEAM,BLUE TEAM,772595,25/06/2024
7,BLUE TEAM,BLUE TEAM,772499,25/06/2024
7,BLUE TEAM,BLUE TEAM,772489,25/06/2024
7,BLUE TEAM,BLUE TEAM,772423,25/06/2024
7,BLUE TEAM,BLUE TEAM,772336,25/06/2024
7,BLUE TEAM,BLUE TEAM,772322,25/06/2024
7,BLUE TEAM,BLUE TEAM,772210,24/06/2024
7,BLUE TEAM,BLUE TEAM,772207,24/06/2024
7,BLUE TEAM,BLUE TEAM,772066,24/06/2024
7,BLUE TEAM,BLUE TEAM,772008,24/06/2024
7,BLUE TEAM,BLUE TEAM,772000,24/06/2024
7,BLUE TEAM,BLUE TEAM,771930,24/06/2024
7,BLUE TEAM,BLUE TEAM,771921,24/06/2024
7,BLUE TEAM,BLUE TEAM,771896,24/06/2024
7,BLUE TEAM,BLUE TEAM,771773,24/06/2024
7,BLUE TEAM,BLUE TEAM,771747,22/06/2024
7,BLUE TEAM,BLUE TEAM,771743,22/06/2024
7,BLUE TEAM,BLUE TEAM,771506,21/06/2024
7,BLUE TEAM,BLUE TEAM,771453,21/06/2024
7,BLUE TEAM,BLUE TEAM,771273,21/06/2024
7,BLUE TEAM,BLUE TEAM,771155,20/06/2024
7,BLUE TEAM,BLUE TEAM,771032,20/06/2024
7,BLUE TEAM,BLUE TEAM,770737,20/06/2024
7,BLUE TEAM,BLUE TEAM,770699,20/06/2024
7,BLUE TEAM,BLUE TEAM,770682,20/06/2024
