%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,677361,05/01/2024
6,BLUE TEAM,BLUE TEAM,676980,04/01/2024
7,BLUE TEAM,BLUE TEAM,676917,03/01/2024
7,BLUE TEAM,BLUE TEAM,676900,03/01/2024
7,BLUE TEAM,BLUE TEAM,676859,03/01/2024
6,BLUE TEAM,BLUE TEAM,676843,03/01/2024
7,BLUE TEAM,BLUE TEAM,676832,03/01/2024
7,BLUE TEAM,BLUE TEAM,676737,03/01/2024
7,BLUE TEAM,BLUE TEAM,676410,02/01/2024
7,BLUE TEAM,BLUE TEAM,676278,02/01/2024
7,BLUE TEAM,BLUE TEAM,676274,02/01/2024
7,BLUE TEAM,BLUE TEAM,676203,02/01/2024
7,BLUE TEAM,BLUE TEAM,676113,29/12/2023
6,BLUE TEAM,BLUE TEAM,676099,28/12/2023
7,BLUE TEAM,BLUE TEAM,676093,28/12/2023
7,BLUE TEAM,BLUE TEAM,676074,27/12/2023
7,BLUE TEAM,BLUE TEAM,676073,27/12/2023
7,BLUE TEAM,BLUE TEAM,676052,27/12/2023
7,BLUE TEAM,BLUE TEAM,676048,27/12/2023
7,BLUE TEAM,BLUE TEAM,676040,27/12/2023
7,BLUE TEAM,BLUE TEAM,675873,22/12/2023
7,BLUE TEAM,BLUE TEAM,675783,21/12/2023
7,BLUE TEAM,BLUE TEAM,675727,21/12/2023
7,BLUE TEAM,BLUE TEAM,675684,21/12/2023
7,BLUE TEAM,BLUE TEAM,675572,21/12/2023
7,BLUE TEAM,BLUE TEAM,675472,20/12/2023
7,BLUE TEAM,BLUE TEAM,675459,20/12/2023
7,BLUE TEAM,BLUE TEAM,675332,20/12/2023
6,BLUE TEAM,BLUE TEAM,675307,20/12/2023
7,BLUE TEAM,BLUE TEAM,675303,20/12/2023
7,BLUE TEAM,BLUE TEAM,675292,20/12/2023
7,BLUE TEAM,BLUE TEAM,675149,20/12/2023
7,BLUE TEAM,BLUE TEAM,674806,19/12/2023
7,BLUE TEAM,BLUE TEAM,674786,19/12/2023
7,BLUE TEAM,BLUE TEAM,674724,19/12/2023
7,BLUE TEAM,BLUE TEAM,674720,19/12/2023
7,BLUE TEAM,BLUE TEAM,674639,18/12/2023
7,BLUE TEAM,BLUE TEAM,674633,18/12/2023
7,BLUE TEAM,BLUE TEAM,674629,18/12/2023
7,BLUE TEAM,BLUE TEAM,674586,18/12/2023
7,BLUE TEAM,BLUE TEAM,674535,18/12/2023
6,BLUE TEAM,BLUE TEAM,674527,18/12/2023
7,BLUE TEAM,BLUE TEAM,674425,18/12/2023
7,BLUE TEAM,BLUE TEAM,674192,15/12/2023
7,BLUE TEAM,BLUE TEAM,674174,15/12/2023
7,BLUE TEAM,BLUE TEAM,674163,15/12/2023
7,BLUE TEAM,BLUE TEAM,674154,15/12/2023
7,BLUE TEAM,BLUE TEAM,673832,14/12/2023
7,BLUE TEAM,BLUE TEAM,673500,13/12/2023
7,BLUE TEAM,BLUE TEAM,673468,13/12/2023
7,BLUE TEAM,BLUE TEAM,673325,13/12/2023
7,BLUE TEAM,BLUE TEAM,673072,12/12/2023
7,BLUE TEAM,BLUE TEAM,673018,12/12/2023
7,BLUE TEAM,BLUE TEAM,672952,12/12/2023
7,BLUE TEAM,BLUE TEAM,672762,11/12/2023
7,BLUE TEAM,BLUE TEAM,672731,11/12/2023
7,BLUE TEAM,BLUE TEAM,672641,11/12/2023
7,BLUE TEAM,BLUE TEAM,672575,11/12/2023
7,BLUE TEAM,BLUE TEAM,672550,11/12/2023
20,BLUE TEAM,BLUE TEAM,672505,11/12/2023
7,BLUE TEAM,BLUE TEAM,672446,11/12/2023
7,BLUE TEAM,BLUE TEAM,672330,08/12/2023
6,BLUE TEAM,BLUE TEAM,672292,08/12/2023
7,BLUE TEAM,BLUE TEAM,672280,08/12/2023
7,BLUE TEAM,BLUE TEAM,672227,08/12/2023
7,BLUE TEAM,BLUE TEAM,672178,08/12/2023
6,BLUE TEAM,BLUE TEAM,672085,08/12/2023
7,BLUE TEAM,BLUE TEAM,672083,08/12/2023
7,BLUE TEAM,BLUE TEAM,671929,07/12/2023
7,BLUE TEAM,BLUE TEAM,671868,07/12/2023
7,BLUE TEAM,BLUE TEAM,671863,07/12/2023
7,BLUE TEAM,BLUE TEAM,671766,07/12/2023
7,BLUE TEAM,BLUE TEAM,671760,07/12/2023
7,BLUE TEAM,BLUE TEAM,671224,05/12/2023
7,BLUE TEAM,BLUE TEAM,671209,05/12/2023
7,BLUE TEAM,BLUE TEAM,671198,05/12/2023
7,BLUE TEAM,BLUE TEAM,671120,05/12/2023
7,BLUE TEAM,BLUE TEAM,670938,05/12/2023
6,BLUE TEAM,BLUE TEAM,670825,04/12/2023
7,BLUE TEAM,BLUE TEAM,670775,04/12/2023
7,BLUE TEAM,BLUE TEAM,670727,04/12/2023
7,BLUE TEAM,BLUE TEAM,670722,04/12/2023
7,BLUE TEAM,BLUE TEAM,670422,04/12/2023
7,BLUE TEAM,BLUE TEAM,670341,01/12/2023
7,BLUE TEAM,BLUE TEAM,670304,01/12/2023
7,BLUE TEAM,BLUE TEAM,670295,01/12/2023
7,BLUE TEAM,BLUE TEAM,670234,01/12/2023
7,BLUE TEAM,BLUE TEAM,670232,01/12/2023
7,BLUE TEAM,BLUE TEAM,670056,01/12/2023
7,BLUE TEAM,BLUE TEAM,669769,30/11/2023
7,BLUE TEAM,BLUE TEAM,669763,30/11/2023
