%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,699875,06/03/2024
7,BLUE TEAM,BLUE TEAM,699758,05/03/2024
7,BLUE TEAM,BLUE TEAM,699603,05/03/2024
7,BLUE TEAM,BLUE TEAM,699465,05/03/2024
7,BLUE TEAM,BLUE TEAM,699365,05/03/2024
7,BLUE TEAM,BLUE TEAM,699319,05/03/2024
7,BLUE TEAM,BLUE TEAM,699209,04/03/2024
7,BLUE TEAM,BLUE TEAM,699074,04/03/2024
6,BLUE TEAM,BLUE TEAM,699052,04/03/2024
7,BLUE TEAM,BLUE TEAM,699018,04/03/2024
7,BLUE TEAM,BLUE TEAM,698904,04/03/2024
7,BLUE TEAM,BLUE TEAM,698900,04/03/2024
7,BLUE TEAM,BLUE TEAM,698895,04/03/2024
7,BLUE TEAM,BLUE TEAM,698887,04/03/2024
7,BLUE TEAM,BLUE TEAM,698878,04/03/2024
7,BLUE TEAM,BLUE TEAM,698858,04/03/2024
7,BLUE TEAM,BLUE TEAM,698852,04/03/2024
7,BLUE TEAM,BLUE TEAM,698782,04/03/2024
7,BLUE TEAM,BLUE TEAM,698553,01/03/2024
7,BLUE TEAM,BLUE TEAM,698515,01/03/2024
7,BLUE TEAM,BLUE TEAM,698329,01/03/2024
7,BLUE TEAM,BLUE TEAM,698304,01/03/2024
7,BLUE TEAM,BLUE TEAM,698297,01/03/2024
7,BLUE TEAM,BLUE TEAM,698076,29/02/2024
7,BLUE TEAM,BLUE TEAM,698046,29/02/2024
7,BLUE TEAM,BLUE TEAM,697808,29/02/2024
7,BLUE TEAM,BLUE TEAM,697775,29/02/2024
7,BLUE TEAM,BLUE TEAM,697735,29/02/2024
7,BLUE TEAM,BLUE TEAM,697698,29/02/2024
7,BLUE TEAM,BLUE TEAM,697486,28/02/2024
7,BLUE TEAM,BLUE TEAM,697397,28/02/2024
7,BLUE TEAM,BLUE TEAM,697391,28/02/2024
7,BLUE TEAM,BLUE TEAM,697375,28/02/2024
7,BLUE TEAM,BLUE TEAM,697257,28/02/2024
7,BLUE TEAM,BLUE TEAM,697233,28/02/2024
7,BLUE TEAM,BLUE TEAM,697155,28/02/2024
7,BLUE TEAM,BLUE TEAM,697152,28/02/2024
7,BLUE TEAM,BLUE TEAM,697144,28/02/2024
7,BLUE TEAM,BLUE TEAM,697141,28/02/2024
7,BLUE TEAM,BLUE TEAM,697081,27/02/2024
7,BLUE TEAM,BLUE TEAM,697074,27/02/2024
7,BLUE TEAM,BLUE TEAM,697043,27/02/2024
7,BLUE TEAM,BLUE TEAM,697036,27/02/2024
7,BLUE TEAM,BLUE TEAM,696934,27/02/2024
7,BLUE TEAM,BLUE TEAM,696873,27/02/2024
7,BLUE TEAM,BLUE TEAM,696831,27/02/2024
7,BLUE TEAM,BLUE TEAM,696827,27/02/2024
7,BLUE TEAM,BLUE TEAM,696818,27/02/2024
7,BLUE TEAM,BLUE TEAM,696774,27/02/2024
7,BLUE TEAM,BLUE TEAM,696675,27/02/2024
7,BLUE TEAM,BLUE TEAM,696655,27/02/2024
7,BLUE TEAM,BLUE TEAM,696642,27/02/2024
7,BLUE TEAM,BLUE TEAM,696618,27/02/2024
7,BLUE TEAM,BLUE TEAM,696598,27/02/2024
7,BLUE TEAM,BLUE TEAM,696580,27/02/2024
7,BLUE TEAM,BLUE TEAM,696467,26/02/2024
7,BLUE TEAM,BLUE TEAM,696462,26/02/2024
7,BLUE TEAM,BLUE TEAM,696300,26/02/2024
7,BLUE TEAM,BLUE TEAM,696297,26/02/2024
7,BLUE TEAM,BLUE TEAM,696259,26/02/2024
7,BLUE TEAM,BLUE TEAM,696245,26/02/2024
7,BLUE TEAM,BLUE TEAM,696181,26/02/2024
7,BLUE TEAM,BLUE TEAM,696146,26/02/2024
7,BLUE TEAM,BLUE TEAM,696094,26/02/2024
7,BLUE TEAM,BLUE TEAM,696091,26/02/2024
7,BLUE TEAM,BLUE TEAM,695507,23/02/2024
7,BLUE TEAM,BLUE TEAM,695301,23/02/2024
7,BLUE TEAM,BLUE TEAM,695248,23/02/2024
7,BLUE TEAM,BLUE TEAM,695024,22/02/2024
7,BLUE TEAM,BLUE TEAM,694996,22/02/2024
7,BLUE TEAM,BLUE TEAM,694994,22/02/2024
7,BLUE TEAM,BLUE TEAM,694939,22/02/2024
7,BLUE TEAM,BLUE TEAM,694909,22/02/2024
7,BLUE TEAM,BLUE TEAM,694795,22/02/2024
