%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,689610,08/02/2024
7,BLUE TEAM,BLUE TEAM,689398,08/02/2024
7,BLUE TEAM,BLUE TEAM,689194,07/02/2024
7,BLUE TEAM,BLUE TEAM,689179,07/02/2024
7,BLUE TEAM,BLUE TEAM,689046,07/02/2024
7,BLUE TEAM,BLUE TEAM,688798,07/02/2024
7,BLUE TEAM,BLUE TEAM,688788,07/02/2024
7,BLUE TEAM,BLUE TEAM,688599,06/02/2024
7,BLUE TEAM,BLUE TEAM,688562,06/02/2024
7,BLUE TEAM,BLUE TEAM,688545,06/02/2024
7,BLUE TEAM,BLUE TEAM,688530,06/02/2024
7,BLUE TEAM,BLUE TEAM,688490,06/02/2024
7,BLUE TEAM,BLUE TEAM,688461,06/02/2024
7,BLUE TEAM,BLUE TEAM,688435,06/02/2024
7,BLUE TEAM,BLUE TEAM,688434,06/02/2024
7,BLUE TEAM,BLUE TEAM,688412,06/02/2024
7,BLUE TEAM,BLUE TEAM,688370,06/02/2024
7,BLUE TEAM,BLUE TEAM,688263,06/02/2024
6,BLUE TEAM,BLUE TEAM,688248,06/02/2024
7,BLUE TEAM,BLUE TEAM,688232,06/02/2024
7,BLUE TEAM,BLUE TEAM,688112,06/02/2024
7,BLUE TEAM,BLUE TEAM,687982,05/02/2024
7,BLUE TEAM,BLUE TEAM,687973,05/02/2024
7,BLUE TEAM,BLUE TEAM,687967,05/02/2024
7,BLUE TEAM,BLUE TEAM,687963,05/02/2024
7,BLUE TEAM,BLUE TEAM,687916,05/02/2024
7,BLUE TEAM,BLUE TEAM,687886,05/02/2024
7,BLUE TEAM,BLUE TEAM,687864,05/02/2024
7,BLUE TEAM,BLUE TEAM,687862,05/02/2024
7,BLUE TEAM,BLUE TEAM,687785,05/02/2024
7,BLUE TEAM,BLUE TEAM,687666,05/02/2024
7,BLUE TEAM,BLUE TEAM,687629,05/02/2024
7,BLUE TEAM,BLUE TEAM,687606,05/02/2024
7,BLUE TEAM,BLUE TEAM,687562,05/02/2024
7,BLUE TEAM,BLUE TEAM,687541,05/02/2024
7,BLUE TEAM,BLUE TEAM,687371,02/02/2024
6,BLUE TEAM,BLUE TEAM,687364,02/02/2024
7,BLUE TEAM,BLUE TEAM,687355,02/02/2024
7,BLUE TEAM,BLUE TEAM,687326,02/02/2024
7,BLUE TEAM,BLUE TEAM,687317,02/02/2024
7,BLUE TEAM,BLUE TEAM,687257,02/02/2024
7,BLUE TEAM,BLUE TEAM,687035,02/02/2024
7,BLUE TEAM,BLUE TEAM,687022,02/02/2024
7,BLUE TEAM,BLUE TEAM,686983,02/02/2024
7,BLUE TEAM,BLUE TEAM,686971,02/02/2024
7,BLUE TEAM,BLUE TEAM,686968,02/02/2024
7,BLUE TEAM,BLUE TEAM,686825,01/02/2024
7,BLUE TEAM,BLUE TEAM,686804,01/02/2024
6,BLUE TEAM,BLUE TEAM,686786,01/02/2024
7,BLUE TEAM,BLUE TEAM,686724,01/02/2024
7,BLUE TEAM,BLUE TEAM,686653,01/02/2024
7,BLUE TEAM,BLUE TEAM,686644,01/02/2024
7,BLUE TEAM,BLUE TEAM,686585,01/02/2024
7,BLUE TEAM,BLUE TEAM,686550,01/02/2024
7,BLUE TEAM,BLUE TEAM,686512,01/02/2024
7,BLUE TEAM,BLUE TEAM,686424,01/02/2024
6,BLUE TEAM,BLUE TEAM,686377,31/01/2024
7,BLUE TEAM,BLUE TEAM,686368,31/01/2024
7,BLUE TEAM,BLUE TEAM,686360,31/01/2024
7,BLUE TEAM,BLUE TEAM,686217,31/01/2024
7,BLUE TEAM,BLUE TEAM,686067,31/01/2024
7,BLUE TEAM,BLUE TEAM,686001,31/01/2024
7,BLUE TEAM,BLUE TEAM,685989,31/01/2024
7,BLUE TEAM,BLUE TEAM,685981,31/01/2024
7,BLUE TEAM,BLUE TEAM,685967,31/01/2024
7,BLUE TEAM,BLUE TEAM,685885,30/01/2024
7,BLUE TEAM,BLUE TEAM,685884,30/01/2024
7,BLUE TEAM,BLUE TEAM,685844,30/01/2024
7,BLUE TEAM,BLUE TEAM,685843,30/01/2024
7,BLUE TEAM,BLUE TEAM,685834,30/01/2024
7,BLUE TEAM,BLUE TEAM,685779,30/01/2024
7,BLUE TEAM,BLUE TEAM,685753,30/01/2024
7,BLUE TEAM,BLUE TEAM,685622,30/01/2024
7,BLUE TEAM,BLUE TEAM,685554,30/01/2024
7,BLUE TEAM,BLUE TEAM,685547,30/01/2024
7,BLUE TEAM,BLUE TEAM,685504,30/01/2024
7,BLUE TEAM,BLUE TEAM,685458,30/01/2024
7,BLUE TEAM,BLUE TEAM,685455,30/01/2024
6,BLUE TEAM,BLUE TEAM,685296,29/01/2024
7,BLUE TEAM,BLUE TEAM,685279,29/01/2024
7,BLUE TEAM,BLUE TEAM,685212,29/01/2024
7,BLUE TEAM,BLUE TEAM,685207,29/01/2024
7,BLUE TEAM,BLUE TEAM,685191,29/01/2024
7,BLUE TEAM,BLUE TEAM,685185,29/01/2024
7,BLUE TEAM,BLUE TEAM,685175,29/01/2024
7,BLUE TEAM,BLUE TEAM,684992,29/01/2024
7,BLUE TEAM,BLUE TEAM,684908,29/01/2024
7,BLUE TEAM,BLUE TEAM,684869,29/01/2024
7,BLUE TEAM,BLUE TEAM,684858,29/01/2024
7,BLUE TEAM,BLUE TEAM,684685,26/01/2024
7,BLUE TEAM,BLUE TEAM,684591,26/01/2024
7,BLUE TEAM,BLUE TEAM,684587,26/01/2024
7,BLUE TEAM,BLUE TEAM,684498,26/01/2024
7,BLUE TEAM,BLUE TEAM,684494,26/01/2024
7,BLUE TEAM,BLUE TEAM,684479,26/01/2024
7,BLUE TEAM,BLUE TEAM,684462,26/01/2024
6,BLUE TEAM,BLUE TEAM,684438,26/01/2024
7,BLUE TEAM,BLUE TEAM,684427,26/01/2024
7,BLUE TEAM,BLUE TEAM,684379,26/01/2024
7,BLUE TEAM,BLUE TEAM,684319,26/01/2024
7,BLUE TEAM,BLUE TEAM,684226,25/01/2024
7,BLUE TEAM,BLUE TEAM,684195,25/01/2024
7,BLUE TEAM,BLUE TEAM,684098,25/01/2024
7,BLUE TEAM,BLUE TEAM,683958,25/01/2024
7,BLUE TEAM,BLUE TEAM,683949,25/01/2024
7,BLUE TEAM,BLUE TEAM,683840,25/01/2024
7,BLUE TEAM,BLUE TEAM,683768,24/01/2024
7,BLUE TEAM,BLUE TEAM,683725,24/01/2024
7,BLUE TEAM,BLUE TEAM,683641,24/01/2024
7,BLUE TEAM,BLUE TEAM,683622,24/01/2024
7,BLUE TEAM,BLUE TEAM,683485,24/01/2024
7,BLUE TEAM,BLUE TEAM,683459,24/01/2024
7,BLUE TEAM,BLUE TEAM,683453,24/01/2024
7,BLUE TEAM,BLUE TEAM,683442,24/01/2024
7,BLUE TEAM,BLUE TEAM,683249,23/01/2024
7,BLUE TEAM,BLUE TEAM,683112,23/01/2024
7,BLUE TEAM,BLUE TEAM,683070,23/01/2024
7,BLUE TEAM,BLUE TEAM,682937,23/01/2024
7,BLUE TEAM,BLUE TEAM,682919,23/01/2024
7,BLUE TEAM,BLUE TEAM,682692,22/01/2024
7,BLUE TEAM,BLUE TEAM,682662,22/01/2024
7,BLUE TEAM,BLUE TEAM,682422,22/01/2024
7,BLUE TEAM,BLUE TEAM,682096,19/01/2024
7,BLUE TEAM,BLUE TEAM,682025,19/01/2024
7,BLUE TEAM,BLUE TEAM,681907,19/01/2024
7,BLUE TEAM,BLUE TEAM,681608,18/01/2024
