%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,860624,06/08/2024
7,BLUE TEAM,BLUE TEAM,860612,06/08/2024
7,BLUE TEAM,BLUE TEAM,860243,05/08/2024
7,BLUE TEAM,BLUE TEAM,859972,03/08/2024
7,BLUE TEAM,BLUE TEAM,859712,02/08/2024
7,BLUE TEAM,BLUE TEAM,859320,01/08/2024
7,BLUE TEAM,BLUE TEAM,859222,01/08/2024
7,BLUE TEAM,BLUE TEAM,859070,01/08/2024
7,BLUE TEAM,BLUE TEAM,858994,01/08/2024
7,BLUE TEAM,BLUE TEAM,858451,31/07/2024
7,BLUE TEAM,BLUE TEAM,858343,31/07/2024
7,BLUE TEAM,BLUE TEAM,858327,31/07/2024
6,BLUE TEAM,BLUE TEAM,858325,31/07/2024
7,BLUE TEAM,BLUE TEAM,858181,30/07/2024
7,BLUE TEAM,BLUE TEAM,858169,30/07/2024
7,BLUE TEAM,BLUE TEAM,857931,30/07/2024
7,BLUE TEAM,BLUE TEAM,857871,30/07/2024
7,BLUE TEAM,BLUE TEAM,857779,30/07/2024
7,BLUE TEAM,BLUE TEAM,857634,29/07/2024
6,BLUE TEAM,BLUE TEAM,857584,29/07/2024
7,BLUE TEAM,BLUE TEAM,857542,29/07/2024
7,BLUE TEAM,BLUE TEAM,857183,29/07/2024
7,BLUE TEAM,BLUE TEAM,857152,27/07/2024
7,BLUE TEAM,BLUE TEAM,857149,27/07/2024
7,BLUE TEAM,BLUE TEAM,857144,27/07/2024
7,BLUE TEAM,BLUE TEAM,857105,26/07/2024
7,BLUE TEAM,BLUE TEAM,857054,26/07/2024
7,BLUE TEAM,BLUE TEAM,856935,26/07/2024
7,BLUE TEAM,BLUE TEAM,856911,26/07/2024
6,BLUE TEAM,BLUE TEAM,856902,26/07/2024
7,BLUE TEAM,BLUE TEAM,856836,26/07/2024
7,BLUE TEAM,BLUE TEAM,856816,26/07/2024
7,BLUE TEAM,BLUE TEAM,856655,26/07/2024
7,BLUE TEAM,BLUE TEAM,856476,25/07/2024
7,BLUE TEAM,BLUE TEAM,856387,25/07/2024
7,BLUE TEAM,BLUE TEAM,856376,25/07/2024
7,BLUE TEAM,BLUE TEAM,856364,25/07/2024
7,BLUE TEAM,BLUE TEAM,856319,25/07/2024
7,BLUE TEAM,BLUE TEAM,856310,25/07/2024
7,BLUE TEAM,BLUE TEAM,856290,25/07/2024
