%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,752368,07/05/2024
7,BLUE TEAM,BLUE TEAM,752162,07/05/2024
7,BLUE TEAM,BLUE TEAM,752113,07/05/2024
7,BLUE TEAM,BLUE TEAM,751786,03/05/2024
7,BLUE TEAM,BLUE TEAM,751771,03/05/2024
7,BLUE TEAM,BLUE TEAM,751738,03/05/2024
7,BLUE TEAM,BLUE TEAM,751426,03/05/2024
6,BLUE TEAM,BLUE TEAM,751171,02/05/2024
7,BLUE TEAM,BLUE TEAM,751129,02/05/2024
7,BLUE TEAM,BLUE TEAM,751023,02/05/2024
7,BLUE TEAM,BLUE TEAM,750991,02/05/2024
7,BLUE TEAM,BLUE TEAM,750944,02/05/2024
7,BLUE TEAM,BLUE TEAM,750827,02/05/2024
7,BLUE TEAM,BLUE TEAM,733674,01/05/2024
7,BLUE TEAM,BLUE TEAM,733665,01/05/2024
7,BLUE TEAM,BLUE TEAM,733648,01/05/2024
7,BLUE TEAM,BLUE TEAM,733642,01/05/2024
6,BLUE TEAM,BLUE TEAM,733570,01/05/2024
7,BLUE TEAM,BLUE TEAM,733523,01/05/2024
7,BLUE TEAM,BLUE TEAM,733514,01/05/2024
7,BLUE TEAM,BLUE TEAM,733501,01/05/2024
7,BLUE TEAM,BLUE TEAM,733472,01/05/2024
7,BLUE TEAM,BLUE TEAM,733467,01/05/2024
7,BLUE TEAM,BLUE TEAM,733388,01/05/2024
7,BLUE TEAM,BLUE TEAM,733319,01/05/2024
7,BLUE TEAM,BLUE TEAM,733317,01/05/2024
7,BLUE TEAM,BLUE TEAM,733254,01/05/2024
7,BLUE TEAM,BLUE TEAM,733228,01/05/2024
7,BLUE TEAM,BLUE TEAM,733199,01/05/2024
7,BLUE TEAM,BLUE TEAM,733128,30/04/2024
7,BLUE TEAM,BLUE TEAM,733074,30/04/2024
7,BLUE TEAM,BLUE TEAM,733073,30/04/2024
7,BLUE TEAM,BLUE TEAM,732980,30/04/2024
7,BLUE TEAM,BLUE TEAM,732964,30/04/2024
6,BLUE TEAM,BLUE TEAM,732949,30/04/2024
7,BLUE TEAM,BLUE TEAM,732923,30/04/2024
7,BLUE TEAM,BLUE TEAM,732901,30/04/2024
7,BLUE TEAM,BLUE TEAM,732795,30/04/2024
7,BLUE TEAM,BLUE TEAM,732738,30/04/2024
7,BLUE TEAM,BLUE TEAM,732724,30/04/2024
7,BLUE TEAM,BLUE TEAM,732717,30/04/2024
7,BLUE TEAM,BLUE TEAM,732688,30/04/2024
7,BLUE TEAM,BLUE TEAM,732676,30/04/2024
7,BLUE TEAM,BLUE TEAM,732645,30/04/2024
7,BLUE TEAM,BLUE TEAM,732630,30/04/2024
6,BLUE TEAM,BLUE TEAM,732475,29/04/2024
7,BLUE TEAM,BLUE TEAM,732474,29/04/2024
7,BLUE TEAM,BLUE TEAM,732461,29/04/2024
7,BLUE TEAM,BLUE TEAM,732440,29/04/2024
7,BLUE TEAM,BLUE TEAM,732397,29/04/2024
7,BLUE TEAM,BLUE TEAM,732378,29/04/2024
7,BLUE TEAM,BLUE TEAM,732374,29/04/2024
7,BLUE TEAM,BLUE TEAM,732250,29/04/2024
7,BLUE TEAM,BLUE TEAM,732176,29/04/2024
7,BLUE TEAM,BLUE TEAM,732156,29/04/2024
7,BLUE TEAM,BLUE TEAM,732129,29/04/2024
7,BLUE TEAM,BLUE TEAM,732071,29/04/2024
7,BLUE TEAM,BLUE TEAM,732059,29/04/2024
7,BLUE TEAM,BLUE TEAM,732004,29/04/2024
7,BLUE TEAM,BLUE TEAM,731998,29/04/2024
7,BLUE TEAM,BLUE TEAM,731986,29/04/2024
7,BLUE TEAM,BLUE TEAM,731866,26/04/2024
7,BLUE TEAM,BLUE TEAM,731763,26/04/2024
7,BLUE TEAM,BLUE TEAM,731723,26/04/2024
6,BLUE TEAM,BLUE TEAM,731716,26/04/2024
7,BLUE TEAM,BLUE TEAM,731703,26/04/2024
7,BLUE TEAM,BLUE TEAM,731699,26/04/2024
7,BLUE TEAM,BLUE TEAM,731691,26/04/2024
7,BLUE TEAM,BLUE TEAM,731597,26/04/2024
7,BLUE TEAM,BLUE TEAM,731529,26/04/2024
7,BLUE TEAM,BLUE TEAM,731481,26/04/2024
6,BLUE TEAM,BLUE TEAM,731477,26/04/2024
7,BLUE TEAM,BLUE TEAM,731475,26/04/2024
7,BLUE TEAM,BLUE TEAM,731469,26/04/2024
6,BLUE TEAM,BLUE TEAM,731285,25/04/2024
7,BLUE TEAM,BLUE TEAM,731190,25/04/2024
7,BLUE TEAM,BLUE TEAM,731179,25/04/2024
7,BLUE TEAM,BLUE TEAM,731090,25/04/2024
6,BLUE TEAM,BLUE TEAM,731079,25/04/2024
6,BLUE TEAM,BLUE TEAM,731074,25/04/2024
7,BLUE TEAM,BLUE TEAM,730867,25/04/2024
7,BLUE TEAM,BLUE TEAM,730854,25/04/2024
7,BLUE TEAM,BLUE TEAM,730842,25/04/2024
6,BLUE TEAM,BLUE TEAM,730833,25/04/2024
7,BLUE TEAM,BLUE TEAM,730821,25/04/2024
7,BLUE TEAM,BLUE TEAM,730792,25/04/2024
7,BLUE TEAM,BLUE TEAM,730690,24/04/2024
7,BLUE TEAM,BLUE TEAM,730683,24/04/2024
7,BLUE TEAM,BLUE TEAM,730675,24/04/2024
7,BLUE TEAM,BLUE TEAM,730670,24/04/2024
7,BLUE TEAM,BLUE TEAM,730661,24/04/2024
7,BLUE TEAM,BLUE TEAM,730642,24/04/2024
7,BLUE TEAM,BLUE TEAM,730628,24/04/2024
7,BLUE TEAM,BLUE TEAM,730611,24/04/2024
6,BLUE TEAM,BLUE TEAM,730599,24/04/2024
7,BLUE TEAM,BLUE TEAM,730589,24/04/2024
6,BLUE TEAM,BLUE TEAM,730587,24/04/2024
7,BLUE TEAM,BLUE TEAM,730576,24/04/2024
7,BLUE TEAM,BLUE TEAM,730574,24/04/2024
7,BLUE TEAM,BLUE TEAM,730573,24/04/2024
7,BLUE TEAM,BLUE TEAM,730534,24/04/2024
7,BLUE TEAM,BLUE TEAM,730345,24/04/2024
7,BLUE TEAM,BLUE TEAM,730322,24/04/2024
7,BLUE TEAM,BLUE TEAM,730276,24/04/2024
7,BLUE TEAM,BLUE TEAM,730268,24/04/2024
6,BLUE TEAM,BLUE TEAM,730224,24/04/2024
7,BLUE TEAM,BLUE TEAM,730216,24/04/2024
6,BLUE TEAM,BLUE TEAM,730190,24/04/2024
7,BLUE TEAM,BLUE TEAM,730184,24/04/2024
7,BLUE TEAM,BLUE TEAM,730133,24/04/2024
6,BLUE TEAM,BLUE TEAM,730127,24/04/2024
6,BLUE TEAM,BLUE TEAM,730122,24/04/2024
7,BLUE TEAM,BLUE TEAM,730116,24/04/2024
7,BLUE TEAM,BLUE TEAM,729909,23/04/2024
7,BLUE TEAM,BLUE TEAM,729905,23/04/2024
7,BLUE TEAM,BLUE TEAM,729884,23/04/2024
7,BLUE TEAM,BLUE TEAM,729882,23/04/2024
7,BLUE TEAM,BLUE TEAM,729841,23/04/2024
7,BLUE TEAM,BLUE TEAM,729819,23/04/2024
6,BLUE TEAM,BLUE TEAM,729815,23/04/2024
7,BLUE TEAM,BLUE TEAM,729704,23/04/2024
6,BLUE TEAM,BLUE TEAM,729582,23/04/2024
7,BLUE TEAM,BLUE TEAM,729548,23/04/2024
7,BLUE TEAM,BLUE TEAM,729538,23/04/2024
7,BLUE TEAM,BLUE TEAM,729532,23/04/2024
7,BLUE TEAM,BLUE TEAM,729407,22/04/2024
7,BLUE TEAM,BLUE TEAM,729384,22/04/2024
7,BLUE TEAM,BLUE TEAM,729364,22/04/2024
7,BLUE TEAM,BLUE TEAM,729356,22/04/2024
7,BLUE TEAM,BLUE TEAM,729326,22/04/2024
7,BLUE TEAM,BLUE TEAM,729296,22/04/2024
7,BLUE TEAM,BLUE TEAM,729281,22/04/2024
7,BLUE TEAM,BLUE TEAM,729257,22/04/2024
7,BLUE TEAM,BLUE TEAM,729175,22/04/2024
7,BLUE TEAM,BLUE TEAM,729109,22/04/2024
7,BLUE TEAM,BLUE TEAM,729104,22/04/2024
7,BLUE TEAM,BLUE TEAM,729102,22/04/2024
6,BLUE TEAM,BLUE TEAM,728937,22/04/2024
7,BLUE TEAM,BLUE TEAM,724136,19/04/2024
7,BLUE TEAM,BLUE TEAM,724085,19/04/2024
7,BLUE TEAM,BLUE TEAM,724017,19/04/2024
7,BLUE TEAM,BLUE TEAM,724016,19/04/2024
7,BLUE TEAM,BLUE TEAM,724002,19/04/2024
7,BLUE TEAM,BLUE TEAM,723998,19/04/2024
7,BLUE TEAM,BLUE TEAM,723986,19/04/2024
7,BLUE TEAM,BLUE TEAM,723968,19/04/2024
7,BLUE TEAM,BLUE TEAM,723966,19/04/2024
7,BLUE TEAM,BLUE TEAM,723939,19/04/2024
7,BLUE TEAM,BLUE TEAM,723752,18/04/2024
7,BLUE TEAM,BLUE TEAM,723725,18/04/2024
7,BLUE TEAM,BLUE TEAM,723643,18/04/2024
