%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,702029,12/03/2024
7,BLUE TEAM,BLUE TEAM,701894,11/03/2024
7,BLUE TEAM,BLUE TEAM,700772,07/03/2024
6,BLUE TEAM,BLUE TEAM,700059,06/03/2024
7,BLUE TEAM,BLUE TEAM,699759,05/03/2024
7,BLUE TEAM,BLUE TEAM,698795,04/03/2024
7,BLUE TEAM,BLUE TEAM,697808,29/02/2024
6,BLUE TEAM,BLUE TEAM,697544,28/02/2024
7,BLUE TEAM,BLUE TEAM,697367,28/02/2024
7,BLUE TEAM,BLUE TEAM,696873,27/02/2024
6,BLUE TEAM,BLUE TEAM,693645,20/02/2024
7,BLUE TEAM,BLUE TEAM,693623,20/02/2024
7,BLUE TEAM,BLUE TEAM,691884,14/02/2024
7,BLUE TEAM,BLUE TEAM,689831,09/02/2024
7,BLUE TEAM,BLUE TEAM,689535,08/02/2024
7,BLUE TEAM,BLUE TEAM,688747,07/02/2024
7,BLUE TEAM,BLUE TEAM,684479,26/01/2024
7,BLUE TEAM,BLUE TEAM,682686,22/01/2024
7,BLUE TEAM,BLUE TEAM,681069,17/01/2024
7,BLUE TEAM,BLUE TEAM,679563,12/01/2024
7,BLUE TEAM,BLUE TEAM,672641,11/12/2023
7,BLUE TEAM,BLUE TEAM,672575,11/12/2023
7,BLUE TEAM,BLUE TEAM,671326,06/12/2023
