%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,766207,10/06/2024
7,BLUE TEAM,BLUE TEAM,765566,07/06/2024
7,BLUE TEAM,BLUE TEAM,764927,06/06/2024
7,BLUE TEAM,BLUE TEAM,764510,05/06/2024
7,BLUE TEAM,BLUE TEAM,764357,05/06/2024
7,BLUE TEAM,BLUE TEAM,764339,05/06/2024
7,BLUE TEAM,BLUE TEAM,764305,05/06/2024
7,BLUE TEAM,BLUE TEAM,764200,05/06/2024
7,BLUE TEAM,BLUE TEAM,764154,05/06/2024
7,BLUE TEAM,BLUE TEAM,764128,05/06/2024
7,BLUE TEAM,BLUE TEAM,763788,04/06/2024
7,BLUE TEAM,BLUE TEAM,763761,04/06/2024
7,BLUE TEAM,BLUE TEAM,763562,04/06/2024
7,BLUE TEAM,BLUE TEAM,763471,04/06/2024
7,BLUE TEAM,BLUE TEAM,763287,03/06/2024
6,BLUE TEAM,BLUE TEAM,763149,03/06/2024
7,BLUE TEAM,BLUE TEAM,763031,03/06/2024
6,BLUE TEAM,BLUE TEAM,762819,01/06/2024
7,BLUE TEAM,BLUE TEAM,762587,31/05/2024
7,BLUE TEAM,BLUE TEAM,762412,31/05/2024
7,BLUE TEAM,BLUE TEAM,762015,30/05/2024
7,BLUE TEAM,BLUE TEAM,761976,30/05/2024
7,BLUE TEAM,BLUE TEAM,761894,30/05/2024
7,BLUE TEAM,BLUE TEAM,761621,30/05/2024
7,BLUE TEAM,BLUE TEAM,761304,29/05/2024
7,BLUE TEAM,BLUE TEAM,761203,29/05/2024
7,BLUE TEAM,BLUE TEAM,761177,29/05/2024
7,BLUE TEAM,BLUE TEAM,760944,28/05/2024
7,BLUE TEAM,BLUE TEAM,760762,28/05/2024
7,BLUE TEAM,BLUE TEAM,760711,28/05/2024
7,BLUE TEAM,BLUE TEAM,760646,28/05/2024
7,BLUE TEAM,BLUE TEAM,760512,28/05/2024
7,BLUE TEAM,BLUE TEAM,759866,24/05/2024
7,BLUE TEAM,BLUE TEAM,759767,23/05/2024
7,BLUE TEAM,BLUE TEAM,759661,23/05/2024
7,BLUE TEAM,BLUE TEAM,759564,23/05/2024
7,BLUE TEAM,BLUE TEAM,759482,23/05/2024
7,BLUE TEAM,BLUE TEAM,759340,23/05/2024
7,BLUE TEAM,BLUE TEAM,759299,23/05/2024
6,BLUE TEAM,BLUE TEAM,759294,23/05/2024
7,BLUE TEAM,BLUE TEAM,759129,22/05/2024
7,BLUE TEAM,BLUE TEAM,759119,22/05/2024
7,BLUE TEAM,BLUE TEAM,758684,22/05/2024
7,BLUE TEAM,BLUE TEAM,758631,21/05/2024
7,BLUE TEAM,BLUE TEAM,758595,21/05/2024
7,BLUE TEAM,BLUE TEAM,758542,21/05/2024
7,BLUE TEAM,BLUE TEAM,758395,21/05/2024
7,BLUE TEAM,BLUE TEAM,758393,21/05/2024
7,BLUE TEAM,BLUE TEAM,758374,21/05/2024
7,BLUE TEAM,BLUE TEAM,758356,21/05/2024
7,BLUE TEAM,BLUE TEAM,757897,20/05/2024
7,BLUE TEAM,BLUE TEAM,757693,20/05/2024
7,BLUE TEAM,BLUE TEAM,757495,20/05/2024
7,BLUE TEAM,BLUE TEAM,757299,18/05/2024
7,BLUE TEAM,BLUE TEAM,757006,17/05/2024
7,BLUE TEAM,BLUE TEAM,756997,17/05/2024
6,BLUE TEAM,BLUE TEAM,756933,17/05/2024
7,BLUE TEAM,BLUE TEAM,756393,16/05/2024
6,BLUE TEAM,BLUE TEAM,756383,16/05/2024
6,BLUE TEAM,BLUE TEAM,756370,16/05/2024
7,BLUE TEAM,BLUE TEAM,756170,16/05/2024
7,BLUE TEAM,BLUE TEAM,755975,15/05/2024
7,BLUE TEAM,BLUE TEAM,755712,15/05/2024
7,BLUE TEAM,BLUE TEAM,755359,14/05/2024
7,BLUE TEAM,BLUE TEAM,755277,14/05/2024
7,BLUE TEAM,BLUE TEAM,754858,13/05/2024
7,BLUE TEAM,BLUE TEAM,754697,13/05/2024
6,BLUE TEAM,BLUE TEAM,754448,13/05/2024
7,BLUE TEAM,BLUE TEAM,754403,13/05/2024
6,BLUE TEAM,BLUE TEAM,754355,13/05/2024
7,BLUE TEAM,BLUE TEAM,754343,13/05/2024
7,BLUE TEAM,BLUE TEAM,754188,10/05/2024
7,BLUE TEAM,BLUE TEAM,754126,10/05/2024
7,BLUE TEAM,BLUE TEAM,754116,10/05/2024
7,BLUE TEAM,BLUE TEAM,753734,10/05/2024
7,BLUE TEAM,BLUE TEAM,753257,09/05/2024
7,BLUE TEAM,BLUE TEAM,752832,08/05/2024
7,BLUE TEAM,BLUE TEAM,751826,03/05/2024
7,BLUE TEAM,BLUE TEAM,751771,03/05/2024
7,BLUE TEAM,BLUE TEAM,751446,03/05/2024
7,BLUE TEAM,BLUE TEAM,751437,03/05/2024
7,BLUE TEAM,BLUE TEAM,751305,02/05/2024
7,BLUE TEAM,BLUE TEAM,733533,01/05/2024
6,BLUE TEAM,BLUE TEAM,733303,01/05/2024
7,BLUE TEAM,BLUE TEAM,733127,30/04/2024
6,BLUE TEAM,BLUE TEAM,733031,30/04/2024
7,BLUE TEAM,BLUE TEAM,733027,30/04/2024
7,BLUE TEAM,BLUE TEAM,733007,30/04/2024
6,BLUE TEAM,BLUE TEAM,732949,30/04/2024
6,BLUE TEAM,BLUE TEAM,732777,30/04/2024
7,BLUE TEAM,BLUE TEAM,732487,29/04/2024
7,BLUE TEAM,BLUE TEAM,732444,29/04/2024
6,BLUE TEAM,BLUE TEAM,731697,26/04/2024
6,BLUE TEAM,BLUE TEAM,731074,25/04/2024
7,BLUE TEAM,BLUE TEAM,730866,25/04/2024
7,BLUE TEAM,BLUE TEAM,730581,24/04/2024
6,BLUE TEAM,BLUE TEAM,730127,24/04/2024
7,BLUE TEAM,BLUE TEAM,730031,23/04/2024
7,BLUE TEAM,BLUE TEAM,729175,22/04/2024
6,BLUE TEAM,BLUE TEAM,723648,18/04/2024
7,BLUE TEAM,BLUE TEAM,723509,18/04/2024
7,BLUE TEAM,BLUE TEAM,723198,17/04/2024
7,BLUE TEAM,BLUE TEAM,722154,16/04/2024
7,BLUE TEAM,BLUE TEAM,721209,12/04/2024
7,BLUE TEAM,BLUE TEAM,715551,28/03/2024
7,BLUE TEAM,BLUE TEAM,714722,26/03/2024
