%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,652256,12-10-2023
7,BLUE TEAM,BLUE TEAM,652244,12-10-2023
7,BLUE TEAM,BLUE TEAM,651966,11-10-2023
7,BLUE TEAM,BLUE TEAM,651887,11-10-2023
7,BLUE TEAM,BLUE TEAM,651714,11-10-2023
7,BLUE TEAM,BLUE TEAM,651633,11-10-2023
7,BLUE TEAM,BLUE TEAM,651527,10-10-2023
7,BLUE TEAM,BLUE TEAM,651446,10-10-2023
7,BLUE TEAM,BLUE TEAM,651261,10-10-2023
7,BLUE TEAM,BLUE TEAM,651081,09-10-2023
7,BLUE TEAM,BLUE TEAM,651055,09-10-2023
7,BLUE TEAM,BLUE TEAM,651053,09-10-2023
7,BLUE TEAM,BLUE TEAM,650749,09-10-2023
7,BLUE TEAM,BLUE TEAM,650726,09-10-2023
7,BLUE TEAM,BLUE TEAM,650535,06-10-2023
7,BLUE TEAM,BLUE TEAM,650347,06-10-2023
7,BLUE TEAM,BLUE TEAM,650262,06-10-2023
7,BLUE TEAM,BLUE TEAM,650228,06-10-2023
7,BLUE TEAM,BLUE TEAM,650219,06-10-2023
7,BLUE TEAM,BLUE TEAM,650103,05-10-2023
7,BLUE TEAM,BLUE TEAM,650070,05-10-2023
7,BLUE TEAM,BLUE TEAM,650061,05-10-2023
7,BLUE TEAM,BLUE TEAM,649971,05-10-2023
7,BLUE TEAM,BLUE TEAM,649672,04-10-2023
7,BLUE TEAM,BLUE TEAM,649607,04-10-2023
7,BLUE TEAM,BLUE TEAM,649587,04-10-2023
7,BLUE TEAM,BLUE TEAM,649571,04-10-2023
7,BLUE TEAM,BLUE TEAM,649555,04-10-2023
7,BLUE TEAM,BLUE TEAM,649542,04-10-2023
7,BLUE TEAM,BLUE TEAM,649376,04-10-2023
6,BLUE TEAM,BLUE TEAM,649254,03-10-2023
7,BLUE TEAM,BLUE TEAM,649208,03-10-2023
7,BLUE TEAM,BLUE TEAM,649171,03-10-2023
7,BLUE TEAM,BLUE TEAM,649168,03-10-2023
7,BLUE TEAM,BLUE TEAM,649085,03-10-2023
7,BLUE TEAM,BLUE TEAM,649047,03-10-2023
7,BLUE TEAM,BLUE TEAM,649002,03-10-2023
7,BLUE TEAM,BLUE TEAM,648996,03-10-2023
7,BLUE TEAM,BLUE TEAM,648964,03-10-2023
7,BLUE TEAM,BLUE TEAM,648943,03-10-2023
7,BLUE TEAM,BLUE TEAM,648435,02-10-2023
7,BLUE TEAM,BLUE TEAM,648414,02-10-2023
7,BLUE TEAM,BLUE TEAM,648391,02-10-2023
7,BLUE TEAM,BLUE TEAM,648390,02-10-2023
7,BLUE TEAM,BLUE TEAM,648332,02-10-2023
7,BLUE TEAM,BLUE TEAM,648099,02-10-2023
7,BLUE TEAM,BLUE TEAM,632226,29-09-2023
7,BLUE TEAM,BLUE TEAM,632155,29-09-2023
7,BLUE TEAM,BLUE TEAM,632085,29-09-2023
7,BLUE TEAM,BLUE TEAM,632080,29-09-2023
7,BLUE TEAM,BLUE TEAM,632075,29-09-2023
7,BLUE TEAM,BLUE TEAM,631950,29-09-2023
7,BLUE TEAM,BLUE TEAM,631920,29-09-2023
7,BLUE TEAM,BLUE TEAM,631852,29-09-2023
7,BLUE TEAM,BLUE TEAM,631839,29-09-2023
7,BLUE TEAM,BLUE TEAM,631806,29-09-2023
7,BLUE TEAM,BLUE TEAM,631804,29-09-2023
7,BLUE TEAM,BLUE TEAM,631658,28-09-2023
7,BLUE TEAM,BLUE TEAM,631496,28-09-2023
7,BLUE TEAM,BLUE TEAM,631459,28-09-2023
7,BLUE TEAM,BLUE TEAM,631430,28-09-2023
7,BLUE TEAM,BLUE TEAM,631410,28-09-2023
