%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,871826,13/08/2024
7,BLUE TEAM,BLUE TEAM,871721,12/08/2024
7,BLUE TEAM,BLUE TEAM,870687,09/08/2024
7,BLUE TEAM,BLUE TEAM,870516,08/08/2024
7,BLUE TEAM,BLUE TEAM,870423,08/08/2024
7,BLUE TEAM,BLUE TEAM,870345,08/08/2024
7,BLUE TEAM,BLUE TEAM,870200,08/08/2024
6,BLUE TEAM,BLUE TEAM,870108,08/08/2024
6,BLUE TEAM,BLUE TEAM,869840,07/08/2024
7,BLUE TEAM,BLUE TEAM,869767,07/08/2024
7,BLUE TEAM,BLUE TEAM,869753,07/08/2024
7,BLUE TEAM,BLUE TEAM,869727,07/08/2024
7,BLUE TEAM,BLUE TEAM,869703,07/08/2024
7,BLUE TEAM,BLUE TEAM,869667,07/08/2024
7,BLUE TEAM,BLUE TEAM,869498,07/08/2024
7,BLUE TEAM,BLUE TEAM,861125,06/08/2024
7,BLUE TEAM,BLUE TEAM,861043,06/08/2024
7,BLUE TEAM,BLUE TEAM,861020,06/08/2024
7,BLUE TEAM,BLUE TEAM,860843,06/08/2024
7,BLUE TEAM,BLUE TEAM,860744,06/08/2024
7,BLUE TEAM,BLUE TEAM,860649,06/08/2024
7,BLUE TEAM,BLUE TEAM,860615,06/08/2024
7,BLUE TEAM,BLUE TEAM,860407,05/08/2024
7,BLUE TEAM,BLUE TEAM,860301,05/08/2024
7,BLUE TEAM,BLUE TEAM,860258,05/08/2024
7,BLUE TEAM,BLUE TEAM,859972,03/08/2024
7,BLUE TEAM,BLUE TEAM,859858,02/08/2024
7,BLUE TEAM,BLUE TEAM,859765,02/08/2024
7,BLUE TEAM,BLUE TEAM,859712,02/08/2024
7,BLUE TEAM,BLUE TEAM,859500,02/08/2024
7,BLUE TEAM,BLUE TEAM,859425,02/08/2024
7,BLUE TEAM,BLUE TEAM,859320,01/08/2024
7,BLUE TEAM,BLUE TEAM,859222,01/08/2024
7,BLUE TEAM,BLUE TEAM,859185,01/08/2024
7,BLUE TEAM,BLUE TEAM,859085,01/08/2024
7,BLUE TEAM,BLUE TEAM,859070,01/08/2024
7,BLUE TEAM,BLUE TEAM,858994,01/08/2024
