%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,673828,14-12-2023
7,BLUE TEAM,BLUE TEAM,673399,13-12-2023
7,BLUE TEAM,BLUE TEAM,673325,13-12-2023
7,BLUE TEAM,BLUE TEAM,673091,12-12-2023
7,BLUE TEAM,BLUE TEAM,673078,12-12-2023
7,BLUE TEAM,BLUE TEAM,673048,12-12-2023
7,BLUE TEAM,BLUE TEAM,673036,12-12-2023
7,BLUE TEAM,BLUE TEAM,673018,12-12-2023
7,BLUE TEAM,BLUE TEAM,673012,12-12-2023
7,BLUE TEAM,BLUE TEAM,673010,12-12-2023
7,BLUE TEAM,BLUE TEAM,672952,12-12-2023
7,BLUE TEAM,BLUE TEAM,672944,12-12-2023
7,BLUE TEAM,BLUE TEAM,672942,12-12-2023
7,BLUE TEAM,BLUE TEAM,672774,11-12-2023
7,BLUE TEAM,BLUE TEAM,672762,11-12-2023
7,BLUE TEAM,BLUE TEAM,672754,11-12-2023
7,BLUE TEAM,BLUE TEAM,672731,11-12-2023
7,BLUE TEAM,BLUE TEAM,672641,11-12-2023
7,BLUE TEAM,BLUE TEAM,672560,11-12-2023
7,BLUE TEAM,BLUE TEAM,672484,11-12-2023
7,BLUE TEAM,BLUE TEAM,672463,11-12-2023
7,BLUE TEAM,BLUE TEAM,672355,08-12-2023
7,BLUE TEAM,BLUE TEAM,672339,08-12-2023
6,BLUE TEAM,BLUE TEAM,672292,08-12-2023
7,BLUE TEAM,BLUE TEAM,672227,08-12-2023
6,BLUE TEAM,BLUE TEAM,672222,08-12-2023
7,BLUE TEAM,BLUE TEAM,672178,08-12-2023
6,BLUE TEAM,BLUE TEAM,672085,08-12-2023
7,BLUE TEAM,BLUE TEAM,672083,08-12-2023
7,BLUE TEAM,BLUE TEAM,672017,07-12-2023
7,BLUE TEAM,BLUE TEAM,672006,07-12-2023
7,BLUE TEAM,BLUE TEAM,671868,07-12-2023
7,BLUE TEAM,BLUE TEAM,671863,07-12-2023
7,BLUE TEAM,BLUE TEAM,671857,07-12-2023
6,BLUE TEAM,BLUE TEAM,671782,07-12-2023
7,BLUE TEAM,BLUE TEAM,671766,07-12-2023
7,BLUE TEAM,BLUE TEAM,671760,07-12-2023
7,BLUE TEAM,BLUE TEAM,671725,07-12-2023
7,BLUE TEAM,BLUE TEAM,671686,07-12-2023
7,BLUE TEAM,BLUE TEAM,671396,06-12-2023
7,BLUE TEAM,BLUE TEAM,671363,06-12-2023
7,BLUE TEAM,BLUE TEAM,671224,05-12-2023
7,BLUE TEAM,BLUE TEAM,671220,05-12-2023
7,BLUE TEAM,BLUE TEAM,671198,05-12-2023
7,BLUE TEAM,BLUE TEAM,670968,05-12-2023
7,BLUE TEAM,BLUE TEAM,670938,05-12-2023
7,BLUE TEAM,BLUE TEAM,670751,04-12-2023
7,BLUE TEAM,BLUE TEAM,670729,04-12-2023
7,BLUE TEAM,BLUE TEAM,670727,04-12-2023
7,BLUE TEAM,BLUE TEAM,670722,04-12-2023
7,BLUE TEAM,BLUE TEAM,670718,04-12-2023
7,BLUE TEAM,BLUE TEAM,670619,04-12-2023
7,BLUE TEAM,BLUE TEAM,670602,04-12-2023
7,BLUE TEAM,BLUE TEAM,670524,04-12-2023
7,BLUE TEAM,BLUE TEAM,670422,04-12-2023
7,BLUE TEAM,BLUE TEAM,670400,04-12-2023
7,BLUE TEAM,BLUE TEAM,670344,01-12-2023
7,BLUE TEAM,BLUE TEAM,670341,01-12-2023
7,BLUE TEAM,BLUE TEAM,670304,01-12-2023
7,BLUE TEAM,BLUE TEAM,670295,01-12-2023
7,BLUE TEAM,BLUE TEAM,670292,01-12-2023
6,BLUE TEAM,BLUE TEAM,670279,01-12-2023
6,BLUE TEAM,BLUE TEAM,670257,01-12-2023
7,BLUE TEAM,BLUE TEAM,670241,01-12-2023
7,BLUE TEAM,BLUE TEAM,670234,01-12-2023
7,BLUE TEAM,BLUE TEAM,670232,01-12-2023
7,BLUE TEAM,BLUE TEAM,670056,01-12-2023
7,BLUE TEAM,BLUE TEAM,670045,01-12-2023
7,BLUE TEAM,BLUE TEAM,669822,30-11-2023
