%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,723017,17/04/2024
7,BLUE TEAM,BLUE TEAM,722589,16/04/2024
7,BLUE TEAM,BLUE TEAM,722575,16/04/2024
7,BLUE TEAM,BLUE TEAM,722516,16/04/2024
7,BLUE TEAM,BLUE TEAM,722515,16/04/2024
7,BLUE TEAM,BLUE TEAM,722503,16/04/2024
7,BLUE TEAM,BLUE TEAM,722489,16/04/2024
7,BLUE TEAM,BLUE TEAM,722414,16/04/2024
7,BLUE TEAM,BLUE TEAM,722174,16/04/2024
6,BLUE TEAM,BLUE TEAM,722134,16/04/2024
7,BLUE TEAM,BLUE TEAM,722114,16/04/2024
7,BLUE TEAM,BLUE TEAM,722088,16/04/2024
7,BLUE TEAM,BLUE TEAM,721905,15/04/2024
6,BLUE TEAM,BLUE TEAM,721899,15/04/2024
7,BLUE TEAM,BLUE TEAM,721894,15/04/2024
7,BLUE TEAM,BLUE TEAM,721869,15/04/2024
7,BLUE TEAM,BLUE TEAM,721844,15/04/2024
6,BLUE TEAM,BLUE TEAM,721774,15/04/2024
7,BLUE TEAM,BLUE TEAM,721626,15/04/2024
7,BLUE TEAM,BLUE TEAM,721601,15/04/2024
7,BLUE TEAM,BLUE TEAM,721535,15/04/2024
7,BLUE TEAM,BLUE TEAM,721453,15/04/2024
7,BLUE TEAM,BLUE TEAM,721228,12/04/2024
7,BLUE TEAM,BLUE TEAM,721158,12/04/2024
7,BLUE TEAM,BLUE TEAM,721141,12/04/2024
7,BLUE TEAM,BLUE TEAM,721129,12/04/2024
7,BLUE TEAM,BLUE TEAM,721123,12/04/2024
7,BLUE TEAM,BLUE TEAM,720886,12/04/2024
7,BLUE TEAM,BLUE TEAM,720884,12/04/2024
6,BLUE TEAM,BLUE TEAM,720745,11/04/2024
7,BLUE TEAM,BLUE TEAM,720741,11/04/2024
7,BLUE TEAM,BLUE TEAM,720691,11/04/2024
7,BLUE TEAM,BLUE TEAM,720667,11/04/2024
7,BLUE TEAM,BLUE TEAM,720616,11/04/2024
7,BLUE TEAM,BLUE TEAM,720598,11/04/2024
7,BLUE TEAM,BLUE TEAM,720563,11/04/2024
7,BLUE TEAM,BLUE TEAM,720535,11/04/2024
7,BLUE TEAM,BLUE TEAM,720520,11/04/2024
7,BLUE TEAM,BLUE TEAM,720449,11/04/2024
7,BLUE TEAM,BLUE TEAM,720439,11/04/2024
7,BLUE TEAM,BLUE TEAM,720393,11/04/2024
6,BLUE TEAM,BLUE TEAM,720239,11/04/2024
7,BLUE TEAM,BLUE TEAM,720234,11/04/2024
7,BLUE TEAM,BLUE TEAM,720179,10/04/2024
7,BLUE TEAM,BLUE TEAM,720078,10/04/2024
7,BLUE TEAM,BLUE TEAM,719857,10/04/2024
7,BLUE TEAM,BLUE TEAM,719804,10/04/2024
7,BLUE TEAM,BLUE TEAM,719771,10/04/2024
7,BLUE TEAM,BLUE TEAM,719678,09/04/2024
7,BLUE TEAM,BLUE TEAM,719671,09/04/2024
7,BLUE TEAM,BLUE TEAM,719623,09/04/2024
7,BLUE TEAM,BLUE TEAM,719595,09/04/2024
7,BLUE TEAM,BLUE TEAM,719564,09/04/2024
7,BLUE TEAM,BLUE TEAM,719548,09/04/2024
7,BLUE TEAM,BLUE TEAM,719536,09/04/2024
7,BLUE TEAM,BLUE TEAM,719449,09/04/2024
7,BLUE TEAM,BLUE TEAM,719385,09/04/2024
7,BLUE TEAM,BLUE TEAM,719305,09/04/2024
7,BLUE TEAM,BLUE TEAM,719212,09/04/2024
7,BLUE TEAM,BLUE TEAM,719179,09/04/2024
7,BLUE TEAM,BLUE TEAM,719030,08/04/2024
7,BLUE TEAM,BLUE TEAM,719014,08/04/2024
7,BLUE TEAM,BLUE TEAM,719007,08/04/2024
7,BLUE TEAM,BLUE TEAM,718994,08/04/2024
7,BLUE TEAM,BLUE TEAM,718937,08/04/2024
7,BLUE TEAM,BLUE TEAM,718930,08/04/2024
7,BLUE TEAM,BLUE TEAM,718912,08/04/2024
7,BLUE TEAM,BLUE TEAM,718869,08/04/2024
7,BLUE TEAM,BLUE TEAM,718831,08/04/2024
7,BLUE TEAM,BLUE TEAM,718817,08/04/2024
7,BLUE TEAM,BLUE TEAM,718697,08/04/2024
7,BLUE TEAM,BLUE TEAM,718645,08/04/2024
7,BLUE TEAM,BLUE TEAM,718641,08/04/2024
7,BLUE TEAM,BLUE TEAM,718605,08/04/2024
7,BLUE TEAM,BLUE TEAM,718557,08/04/2024
7,BLUE TEAM,BLUE TEAM,718504,08/04/2024
7,BLUE TEAM,BLUE TEAM,718501,08/04/2024
7,BLUE TEAM,BLUE TEAM,718481,08/04/2024
7,BLUE TEAM,BLUE TEAM,718372,05/04/2024
6,BLUE TEAM,BLUE TEAM,718305,05/04/2024
7,BLUE TEAM,BLUE TEAM,718281,05/04/2024
7,BLUE TEAM,BLUE TEAM,718278,05/04/2024
7,BLUE TEAM,BLUE TEAM,718274,05/04/2024
7,BLUE TEAM,BLUE TEAM,718252,05/04/2024
7,BLUE TEAM,BLUE TEAM,718245,05/04/2024
7,BLUE TEAM,BLUE TEAM,718237,05/04/2024
7,BLUE TEAM,BLUE TEAM,718222,05/04/2024
7,BLUE TEAM,BLUE TEAM,718198,05/04/2024
7,BLUE TEAM,BLUE TEAM,718061,05/04/2024
7,BLUE TEAM,BLUE TEAM,718027,05/04/2024
7,BLUE TEAM,BLUE TEAM,717989,05/04/2024
7,BLUE TEAM,BLUE TEAM,717985,05/04/2024
7,BLUE TEAM,BLUE TEAM,717932,05/04/2024
7,BLUE TEAM,BLUE TEAM,717929,05/04/2024
7,BLUE TEAM,BLUE TEAM,717919,05/04/2024
7,BLUE TEAM,BLUE TEAM,717824,04/04/2024
6,BLUE TEAM,BLUE TEAM,717823,04/04/2024
6,BLUE TEAM,BLUE TEAM,717666,04/04/2024
7,BLUE TEAM,BLUE TEAM,717624,04/04/2024
7,BLUE TEAM,BLUE TEAM,717489,04/04/2024
7,BLUE TEAM,BLUE TEAM,717425,04/04/2024
7,BLUE TEAM,BLUE TEAM,717412,04/04/2024
7,BLUE TEAM,BLUE TEAM,717351,04/04/2024
7,BLUE TEAM,BLUE TEAM,717347,04/04/2024
7,BLUE TEAM,BLUE TEAM,717341,04/04/2024
7,BLUE TEAM,BLUE TEAM,717336,04/04/2024
7,BLUE TEAM,BLUE TEAM,717215,03/04/2024
7,BLUE TEAM,BLUE TEAM,717205,03/04/2024
7,BLUE TEAM,BLUE TEAM,717204,03/04/2024
7,BLUE TEAM,BLUE TEAM,717107,03/04/2024
7,BLUE TEAM,BLUE TEAM,717050,03/04/2024
7,BLUE TEAM,BLUE TEAM,717034,03/04/2024
7,BLUE TEAM,BLUE TEAM,716765,03/04/2024
7,BLUE TEAM,BLUE TEAM,716735,03/04/2024
7,BLUE TEAM,BLUE TEAM,716723,03/04/2024
6,BLUE TEAM,BLUE TEAM,716712,03/04/2024
7,BLUE TEAM,BLUE TEAM,716707,03/04/2024
7,BLUE TEAM,BLUE TEAM,716693,03/04/2024
7,BLUE TEAM,BLUE TEAM,716685,03/04/2024
6,BLUE TEAM,BLUE TEAM,716659,03/04/2024
7,BLUE TEAM,BLUE TEAM,716472,02/04/2024
7,BLUE TEAM,BLUE TEAM,716463,02/04/2024
7,BLUE TEAM,BLUE TEAM,716433,02/04/2024
7,BLUE TEAM,BLUE TEAM,716430,02/04/2024
7,BLUE TEAM,BLUE TEAM,716425,02/04/2024
7,BLUE TEAM,BLUE TEAM,716424,02/04/2024
7,BLUE TEAM,BLUE TEAM,716412,02/04/2024
7,BLUE TEAM,BLUE TEAM,716380,02/04/2024
7,BLUE TEAM,BLUE TEAM,716351,02/04/2024
7,BLUE TEAM,BLUE TEAM,716301,02/04/2024
7,BLUE TEAM,BLUE TEAM,716286,02/04/2024
7,BLUE TEAM,BLUE TEAM,716160,02/04/2024
7,BLUE TEAM,BLUE TEAM,716150,02/04/2024
7,BLUE TEAM,BLUE TEAM,716140,02/04/2024
7,BLUE TEAM,BLUE TEAM,716137,02/04/2024
6,BLUE TEAM,BLUE TEAM,716125,02/04/2024
7,BLUE TEAM,BLUE TEAM,716069,02/04/2024
7,BLUE TEAM,BLUE TEAM,715769,28/03/2024
7,BLUE TEAM,BLUE TEAM,715719,28/03/2024
7,BLUE TEAM,BLUE TEAM,715676,28/03/2024
7,BLUE TEAM,BLUE TEAM,715645,28/03/2024
7,BLUE TEAM,BLUE TEAM,715460,28/03/2024
7,BLUE TEAM,BLUE TEAM,715437,28/03/2024
7,BLUE TEAM,BLUE TEAM,715427,28/03/2024
7,BLUE TEAM,BLUE TEAM,715393,28/03/2024
7,BLUE TEAM,BLUE TEAM,715238,27/03/2024
6,BLUE TEAM,BLUE TEAM,715233,27/03/2024
7,BLUE TEAM,BLUE TEAM,715183,27/03/2024
6,BLUE TEAM,BLUE TEAM,715146,27/03/2024
7,BLUE TEAM,BLUE TEAM,715134,27/03/2024
6,BLUE TEAM,BLUE TEAM,715127,27/03/2024
7,BLUE TEAM,BLUE TEAM,715103,27/03/2024
7,BLUE TEAM,BLUE TEAM,715045,27/03/2024
7,BLUE TEAM,BLUE TEAM,715030,27/03/2024
7,BLUE TEAM,BLUE TEAM,715002,27/03/2024
7,BLUE TEAM,BLUE TEAM,714993,27/03/2024
7,BLUE TEAM,BLUE TEAM,714830,27/03/2024
7,BLUE TEAM,BLUE TEAM,714821,27/03/2024
7,BLUE TEAM,BLUE TEAM,714781,27/03/2024
7,BLUE TEAM,BLUE TEAM,714724,26/03/2024
7,BLUE TEAM,BLUE TEAM,714666,26/03/2024
7,BLUE TEAM,BLUE TEAM,714662,26/03/2024
7,BLUE TEAM,BLUE TEAM,714562,26/03/2024
7,BLUE TEAM,BLUE TEAM,714397,26/03/2024
7,BLUE TEAM,BLUE TEAM,714267,26/03/2024
7,BLUE TEAM,BLUE TEAM,714195,25/03/2024
7,BLUE TEAM,BLUE TEAM,714142,25/03/2024
7,BLUE TEAM,BLUE TEAM,714088,25/03/2024
7,BLUE TEAM,BLUE TEAM,713991,25/03/2024
7,BLUE TEAM,BLUE TEAM,713872,25/03/2024
6,BLUE TEAM,BLUE TEAM,713827,25/03/2024
7,BLUE TEAM,BLUE TEAM,713792,25/03/2024
6,BLUE TEAM,BLUE TEAM,713598,22/03/2024
7,BLUE TEAM,BLUE TEAM,713528,22/03/2024
7,BLUE TEAM,BLUE TEAM,713507,22/03/2024
6,BLUE TEAM,BLUE TEAM,713498,22/03/2024
7,BLUE TEAM,BLUE TEAM,713393,22/03/2024
7,BLUE TEAM,BLUE TEAM,713329,22/03/2024
7,BLUE TEAM,BLUE TEAM,713305,22/03/2024
7,BLUE TEAM,BLUE TEAM,713103,21/03/2024
7,BLUE TEAM,BLUE TEAM,713096,21/03/2024
7,BLUE TEAM,BLUE TEAM,713079,21/03/2024
7,BLUE TEAM,BLUE TEAM,713046,21/03/2024
7,BLUE TEAM,BLUE TEAM,712903,21/03/2024
7,BLUE TEAM,BLUE TEAM,712782,21/03/2024
6,BLUE TEAM,BLUE TEAM,712755,21/03/2024
7,BLUE TEAM,BLUE TEAM,712650,21/03/2024
7,BLUE TEAM,BLUE TEAM,712608,21/03/2024
7,BLUE TEAM,BLUE TEAM,712584,21/03/2024
7,BLUE TEAM,BLUE TEAM,712500,20/03/2024
6,BLUE TEAM,BLUE TEAM,712496,20/03/2024
7,BLUE TEAM,BLUE TEAM,712380,20/03/2024
7,BLUE TEAM,BLUE TEAM,712289,20/03/2024
7,BLUE TEAM,BLUE TEAM,712205,20/03/2024
7,BLUE TEAM,BLUE TEAM,712123,20/03/2024
7,BLUE TEAM,BLUE TEAM,711850,19/03/2024
7,BLUE TEAM,BLUE TEAM,711840,19/03/2024
7,BLUE TEAM,BLUE TEAM,711735,19/03/2024
7,BLUE TEAM,BLUE TEAM,711654,19/03/2024
7,BLUE TEAM,BLUE TEAM,711604,19/03/2024
7,BLUE TEAM,BLUE TEAM,711460,18/03/2024
7,BLUE TEAM,BLUE TEAM,711373,18/03/2024
7,BLUE TEAM,BLUE TEAM,711361,18/03/2024
7,BLUE TEAM,BLUE TEAM,711346,18/03/2024
7,BLUE TEAM,BLUE TEAM,711343,18/03/2024
7,BLUE TEAM,BLUE TEAM,711336,18/03/2024
6,BLUE TEAM,BLUE TEAM,711293,18/03/2024
7,BLUE TEAM,BLUE TEAM,711124,18/03/2024
7,BLUE TEAM,BLUE TEAM,703904,15/03/2024
7,BLUE TEAM,BLUE TEAM,703565,14/03/2024
6,BLUE TEAM,BLUE TEAM,703506,14/03/2024
7,BLUE TEAM,BLUE TEAM,703475,14/03/2024
7,BLUE TEAM,BLUE TEAM,703407,14/03/2024
7,BLUE TEAM,BLUE TEAM,703402,14/03/2024
7,BLUE TEAM,BLUE TEAM,703270,14/03/2024
7,BLUE TEAM,BLUE TEAM,703269,14/03/2024
7,BLUE TEAM,BLUE TEAM,703125,14/03/2024
7,BLUE TEAM,BLUE TEAM,702957,13/03/2024
7,BLUE TEAM,BLUE TEAM,702943,13/03/2024
7,BLUE TEAM,BLUE TEAM,702606,13/03/2024
6,BLUE TEAM,BLUE TEAM,702457,12/03/2024
7,BLUE TEAM,BLUE TEAM,702416,12/03/2024
7,BLUE TEAM,BLUE TEAM,702385,12/03/2024
7,BLUE TEAM,BLUE TEAM,702279,12/03/2024
7,BLUE TEAM,BLUE TEAM,701910,11/03/2024
7,BLUE TEAM,BLUE TEAM,701897,11/03/2024
7,BLUE TEAM,BLUE TEAM,701344,08/03/2024
7,BLUE TEAM,BLUE TEAM,701248,08/03/2024
7,BLUE TEAM,BLUE TEAM,701167,08/03/2024
7,BLUE TEAM,BLUE TEAM,700995,08/03/2024
7,BLUE TEAM,BLUE TEAM,700797,07/03/2024
6,BLUE TEAM,BLUE TEAM,700404,07/03/2024
7,BLUE TEAM,BLUE TEAM,700129,06/03/2024
7,BLUE TEAM,BLUE TEAM,700022,06/03/2024
7,BLUE TEAM,BLUE TEAM,699454,05/03/2024
7,BLUE TEAM,BLUE TEAM,699209,04/03/2024
7,BLUE TEAM,BLUE TEAM,699191,04/03/2024
7,BLUE TEAM,BLUE TEAM,699165,04/03/2024
7,BLUE TEAM,BLUE TEAM,697838,29/02/2024
7,BLUE TEAM,BLUE TEAM,697786,29/02/2024
7,BLUE TEAM,BLUE TEAM,697421,28/02/2024
7,BLUE TEAM,BLUE TEAM,697387,28/02/2024
7,BLUE TEAM,BLUE TEAM,697300,28/02/2024
7,BLUE TEAM,BLUE TEAM,697233,28/02/2024
7,BLUE TEAM,BLUE TEAM,697028,27/02/2024
7,BLUE TEAM,BLUE TEAM,696877,27/02/2024
7,BLUE TEAM,BLUE TEAM,696827,27/02/2024
7,BLUE TEAM,BLUE TEAM,696824,27/02/2024
7,BLUE TEAM,BLUE TEAM,696774,27/02/2024
7,BLUE TEAM,BLUE TEAM,696467,26/02/2024
7,BLUE TEAM,BLUE TEAM,695301,23/02/2024
6,BLUE TEAM,BLUE TEAM,695248,23/02/2024
6,BLUE TEAM,BLUE TEAM,695074,22/02/2024
7,BLUE TEAM,BLUE TEAM,695059,22/02/2024
7,BLUE TEAM,BLUE TEAM,695028,22/02/2024
7,BLUE TEAM,BLUE TEAM,693589,20/02/2024
7,BLUE TEAM,BLUE TEAM,693237,19/02/2024
7,BLUE TEAM,BLUE TEAM,693042,19/02/2024
7,BLUE TEAM,BLUE TEAM,693008,19/02/2024
7,BLUE TEAM,BLUE TEAM,691684,14/02/2024
7,BLUE TEAM,BLUE TEAM,691337,13/02/2024
7,BLUE TEAM,BLUE TEAM,691033,13/02/2024
7,BLUE TEAM,BLUE TEAM,690468,12/02/2024
7,BLUE TEAM,BLUE TEAM,689924,09/02/2024
7,BLUE TEAM,BLUE TEAM,689161,07/02/2024
7,BLUE TEAM,BLUE TEAM,689087,07/02/2024
6,BLUE TEAM,BLUE TEAM,688506,06/02/2024
7,BLUE TEAM,BLUE TEAM,688232,06/02/2024
7,BLUE TEAM,BLUE TEAM,688015,05/02/2024
