%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,681887,19/01/2024
7,BLUE TEAM,BLUE TEAM,681432,18/01/2024
7,BLUE TEAM,BLUE TEAM,681427,18/01/2024
7,BLUE TEAM,BLUE TEAM,681367,18/01/2024
7,BLUE TEAM,BLUE TEAM,681360,18/01/2024
7,BLUE TEAM,BLUE TEAM,681343,18/01/2024
7,BLUE TEAM,BLUE TEAM,681144,17/01/2024
7,BLUE TEAM,BLUE TEAM,681131,17/01/2024
7,BLUE TEAM,BLUE TEAM,681120,17/01/2024
7,BLUE TEAM,BLUE TEAM,680959,17/01/2024
7,BLUE TEAM,BLUE TEAM,680958,17/01/2024
7,BLUE TEAM,BLUE TEAM,680949,17/01/2024
7,BLUE TEAM,BLUE TEAM,680932,17/01/2024
7,BLUE TEAM,BLUE TEAM,680899,17/01/2024
7,BLUE TEAM,BLUE TEAM,680885,17/01/2024
7,BLUE TEAM,BLUE TEAM,680825,17/01/2024
7,BLUE TEAM,BLUE TEAM,680704,16/01/2024
7,BLUE TEAM,BLUE TEAM,680702,16/01/2024
7,BLUE TEAM,BLUE TEAM,680676,16/01/2024
7,BLUE TEAM,BLUE TEAM,680623,16/01/2024
7,BLUE TEAM,BLUE TEAM,680562,16/01/2024
7,BLUE TEAM,BLUE TEAM,680559,16/01/2024
7,BLUE TEAM,BLUE TEAM,680246,15/01/2024
7,BLUE TEAM,BLUE TEAM,680236,15/01/2024
7,BLUE TEAM,BLUE TEAM,680211,15/01/2024
7,BLUE TEAM,BLUE TEAM,680189,15/01/2024
7,BLUE TEAM,BLUE TEAM,680180,15/01/2024
7,BLUE TEAM,BLUE TEAM,680142,15/01/2024
7,BLUE TEAM,BLUE TEAM,680141,15/01/2024
7,BLUE TEAM,BLUE TEAM,679972,15/01/2024
7,BLUE TEAM,BLUE TEAM,679962,15/01/2024
7,BLUE TEAM,BLUE TEAM,679931,15/01/2024
7,BLUE TEAM,BLUE TEAM,679750,12/01/2024
7,BLUE TEAM,BLUE TEAM,679718,12/01/2024
7,BLUE TEAM,BLUE TEAM,679657,12/01/2024
7,BLUE TEAM,BLUE TEAM,679567,12/01/2024
7,BLUE TEAM,BLUE TEAM,679422,12/01/2024
7,BLUE TEAM,BLUE TEAM,679377,11/01/2024
7,BLUE TEAM,BLUE TEAM,679333,11/01/2024
7,BLUE TEAM,BLUE TEAM,679331,11/01/2024
7,BLUE TEAM,BLUE TEAM,679061,11/01/2024
7,BLUE TEAM,BLUE TEAM,678789,10/01/2024
7,BLUE TEAM,BLUE TEAM,678728,10/01/2024
6,BLUE TEAM,BLUE TEAM,678709,10/01/2024
7,BLUE TEAM,BLUE TEAM,678686,10/01/2024
7,BLUE TEAM,BLUE TEAM,678682,10/01/2024
7,BLUE TEAM,BLUE TEAM,678658,10/01/2024
7,BLUE TEAM,BLUE TEAM,678599,10/01/2024
7,BLUE TEAM,BLUE TEAM,678421,09/01/2024
