%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,657668,26/10/2023
7,BLUE TEAM,BLUE TEAM,657271,26/10/2023
7,BLUE TEAM,BLUE TEAM,657181,25/10/2023
7,BLUE TEAM,BLUE TEAM,656944,25/10/2023
7,BLUE TEAM,BLUE TEAM,656725,24/10/2023
7,BLUE TEAM,BLUE TEAM,656710,24/10/2023
7,BLUE TEAM,BLUE TEAM,656647,24/10/2023
7,BLUE TEAM,BLUE TEAM,656506,24/10/2023
7,BLUE TEAM,BLUE TEAM,656214,23/10/2023
7,BLUE TEAM,BLUE TEAM,656198,23/10/2023
7,BLUE TEAM,BLUE TEAM,656180,23/10/2023
7,BLUE TEAM,BLUE TEAM,656147,23/10/2023
7,BLUE TEAM,BLUE TEAM,656015,23/10/2023
7,BLUE TEAM,BLUE TEAM,655836,23/10/2023
7,BLUE TEAM,BLUE TEAM,655747,20/10/2023
7,BLUE TEAM,BLUE TEAM,655655,20/10/2023
7,BLUE TEAM,BLUE TEAM,655644,20/10/2023
7,BLUE TEAM,BLUE TEAM,655585,20/10/2023
7,BLUE TEAM,BLUE TEAM,655553,20/10/2023
7,BLUE TEAM,BLUE TEAM,655533,20/10/2023
7,BLUE TEAM,BLUE TEAM,655399,20/10/2023
7,BLUE TEAM,BLUE TEAM,655098,19/10/2023
7,BLUE TEAM,BLUE TEAM,655095,19/10/2023
7,BLUE TEAM,BLUE TEAM,655063,19/10/2023
7,BLUE TEAM,BLUE TEAM,655058,19/10/2023
7,BLUE TEAM,BLUE TEAM,655016,19/10/2023
7,BLUE TEAM,BLUE TEAM,654907,19/10/2023
7,BLUE TEAM,BLUE TEAM,654728,18/10/2023
7,BLUE TEAM,BLUE TEAM,654279,17/10/2023
7,BLUE TEAM,BLUE TEAM,654256,17/10/2023
7,BLUE TEAM,BLUE TEAM,654244,17/10/2023
7,BLUE TEAM,BLUE TEAM,654219,17/10/2023
7,BLUE TEAM,BLUE TEAM,654195,17/10/2023
7,BLUE TEAM,BLUE TEAM,653943,17/10/2023
7,BLUE TEAM,BLUE TEAM,653923,17/10/2023
7,BLUE TEAM,BLUE TEAM,653588,16/10/2023
7,BLUE TEAM,BLUE TEAM,653573,16/10/2023
7,BLUE TEAM,BLUE TEAM,653569,16/10/2023
7,BLUE TEAM,BLUE TEAM,652936,13/10/2023
7,BLUE TEAM,BLUE TEAM,652591,13/10/2023
7,BLUE TEAM,BLUE TEAM,652583,13/10/2023
7,BLUE TEAM,BLUE TEAM,652481,12/10/2023
7,BLUE TEAM,BLUE TEAM,652376,12/10/2023
7,BLUE TEAM,BLUE TEAM,652256,12/10/2023
7,BLUE TEAM,BLUE TEAM,652244,12/10/2023
7,BLUE TEAM,BLUE TEAM,652233,12/10/2023
7,BLUE TEAM,BLUE TEAM,652217,12/10/2023
7,BLUE TEAM,BLUE TEAM,652186,12/10/2023
7,BLUE TEAM,BLUE TEAM,652175,12/10/2023
7,BLUE TEAM,BLUE TEAM,652142,12/10/2023
7,BLUE TEAM,BLUE TEAM,652008,11/10/2023
7,BLUE TEAM,BLUE TEAM,651978,11/10/2023
7,BLUE TEAM,BLUE TEAM,651916,11/10/2023
7,BLUE TEAM,BLUE TEAM,651901,11/10/2023
7,BLUE TEAM,BLUE TEAM,651714,11/10/2023
7,BLUE TEAM,BLUE TEAM,651702,11/10/2023
7,BLUE TEAM,BLUE TEAM,651633,11/10/2023
7,BLUE TEAM,BLUE TEAM,651582,10/10/2023
7,BLUE TEAM,BLUE TEAM,651568,10/10/2023
7,BLUE TEAM,BLUE TEAM,651527,10/10/2023
7,BLUE TEAM,BLUE TEAM,651314,10/10/2023
7,BLUE TEAM,BLUE TEAM,651269,10/10/2023
7,BLUE TEAM,BLUE TEAM,651230,10/10/2023
7,BLUE TEAM,BLUE TEAM,651214,10/10/2023
7,BLUE TEAM,BLUE TEAM,651032,09/10/2023
7,BLUE TEAM,BLUE TEAM,651003,09/10/2023
7,BLUE TEAM,BLUE TEAM,651000,09/10/2023
7,BLUE TEAM,BLUE TEAM,650786,09/10/2023
7,BLUE TEAM,BLUE TEAM,650761,09/10/2023
7,BLUE TEAM,BLUE TEAM,650582,06/10/2023
7,BLUE TEAM,BLUE TEAM,650572,06/10/2023
7,BLUE TEAM,BLUE TEAM,650542,06/10/2023
7,BLUE TEAM,BLUE TEAM,650219,06/10/2023
7,BLUE TEAM,BLUE TEAM,650103,05/10/2023
7,BLUE TEAM,BLUE TEAM,649979,05/10/2023
7,BLUE TEAM,BLUE TEAM,649770,05/10/2023
7,BLUE TEAM,BLUE TEAM,649607,04/10/2023
7,BLUE TEAM,BLUE TEAM,649571,04/10/2023
7,BLUE TEAM,BLUE TEAM,649537,04/10/2023
7,BLUE TEAM,BLUE TEAM,649527,04/10/2023
6,BLUE TEAM,BLUE TEAM,649482,04/10/2023
7,BLUE TEAM,BLUE TEAM,649182,03/10/2023
7,BLUE TEAM,BLUE TEAM,649168,03/10/2023
7,BLUE TEAM,BLUE TEAM,649085,03/10/2023
7,BLUE TEAM,BLUE TEAM,649047,03/10/2023
7,BLUE TEAM,BLUE TEAM,649042,03/10/2023
7,BLUE TEAM,BLUE TEAM,648985,03/10/2023
7,BLUE TEAM,BLUE TEAM,648964,03/10/2023
7,BLUE TEAM,BLUE TEAM,648943,03/10/2023
7,BLUE TEAM,BLUE TEAM,648414,02/10/2023
7,BLUE TEAM,BLUE TEAM,648391,02/10/2023
7,BLUE TEAM,BLUE TEAM,648332,02/10/2023
7,BLUE TEAM,BLUE TEAM,648133,02/10/2023
7,BLUE TEAM,BLUE TEAM,648107,02/10/2023
7,BLUE TEAM,BLUE TEAM,632231,29/09/2023
7,BLUE TEAM,BLUE TEAM,632085,29/09/2023
7,BLUE TEAM,BLUE TEAM,632080,29/09/2023
7,BLUE TEAM,BLUE TEAM,632075,29/09/2023
7,BLUE TEAM,BLUE TEAM,631839,29/09/2023
7,BLUE TEAM,BLUE TEAM,631677,28/09/2023
7,BLUE TEAM,BLUE TEAM,631669,28/09/2023
7,BLUE TEAM,BLUE TEAM,631459,28/09/2023
7,BLUE TEAM,BLUE TEAM,631443,28/09/2023
7,BLUE TEAM,BLUE TEAM,631399,28/09/2023
7,BLUE TEAM,BLUE TEAM,631214,28/09/2023
7,BLUE TEAM,BLUE TEAM,631089,27/09/2023
7,BLUE TEAM,BLUE TEAM,631029,27/09/2023
7,BLUE TEAM,BLUE TEAM,630838,27/09/2023
7,BLUE TEAM,BLUE TEAM,630830,27/09/2023
7,BLUE TEAM,BLUE TEAM,630764,27/09/2023
7,BLUE TEAM,BLUE TEAM,630655,26/09/2023
7,BLUE TEAM,BLUE TEAM,630626,26/09/2023
7,BLUE TEAM,BLUE TEAM,630594,26/09/2023
7,BLUE TEAM,BLUE TEAM,630583,26/09/2023
7,BLUE TEAM,BLUE TEAM,630539,26/09/2023
7,BLUE TEAM,BLUE TEAM,630420,26/09/2023
7,BLUE TEAM,BLUE TEAM,630289,26/09/2023
7,BLUE TEAM,BLUE TEAM,630258,26/09/2023
