%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,667296,23-11-2023
7,BLUE TEAM,BLUE TEAM,667265,23-11-2023
7,BLUE TEAM,BLUE TEAM,667042,22-11-2023
7,BLUE TEAM,BLUE TEAM,667038,22-11-2023
7,BLUE TEAM,BLUE TEAM,666990,22-11-2023
7,BLUE TEAM,BLUE TEAM,666988,22-11-2023
7,BLUE TEAM,BLUE TEAM,666952,22-11-2023
7,BLUE TEAM,BLUE TEAM,666925,22-11-2023
7,BLUE TEAM,BLUE TEAM,666671,22-11-2023
7,BLUE TEAM,BLUE TEAM,666560,21-11-2023
7,BLUE TEAM,BLUE TEAM,666398,21-11-2023
7,BLUE TEAM,BLUE TEAM,666346,21-11-2023
7,BLUE TEAM,BLUE TEAM,666335,21-11-2023
7,BLUE TEAM,BLUE TEAM,666290,21-11-2023
7,BLUE TEAM,BLUE TEAM,666264,21-11-2023
7,BLUE TEAM,BLUE TEAM,666024,20-11-2023
6,BLUE TEAM,BLUE TEAM,665953,20-11-2023
7,BLUE TEAM,BLUE TEAM,665908,20-11-2023
7,BLUE TEAM,BLUE TEAM,665880,20-11-2023
7,BLUE TEAM,BLUE TEAM,665811,20-11-2023
7,BLUE TEAM,BLUE TEAM,665769,20-11-2023
7,BLUE TEAM,BLUE TEAM,665504,17-11-2023
7,BLUE TEAM,BLUE TEAM,665496,17-11-2023
7,BLUE TEAM,BLUE TEAM,665486,17-11-2023
7,BLUE TEAM,BLUE TEAM,665382,17-11-2023
7,BLUE TEAM,BLUE TEAM,665377,17-11-2023
7,BLUE TEAM,BLUE TEAM,665343,17-11-2023
7,BLUE TEAM,BLUE TEAM,665254,17-11-2023
7,BLUE TEAM,BLUE TEAM,665147,16-11-2023
7,BLUE TEAM,BLUE TEAM,665142,16-11-2023
7,BLUE TEAM,BLUE TEAM,665133,16-11-2023
7,BLUE TEAM,BLUE TEAM,665119,16-11-2023
7,BLUE TEAM,BLUE TEAM,665088,16-11-2023
7,BLUE TEAM,BLUE TEAM,665067,16-11-2023
7,BLUE TEAM,BLUE TEAM,665029,16-11-2023
7,BLUE TEAM,BLUE TEAM,664964,16-11-2023
7,BLUE TEAM,BLUE TEAM,664933,16-11-2023
7,BLUE TEAM,BLUE TEAM,664870,16-11-2023
7,BLUE TEAM,BLUE TEAM,664819,16-11-2023
7,BLUE TEAM,BLUE TEAM,664713,15-11-2023
7,BLUE TEAM,BLUE TEAM,664688,15-11-2023
7,BLUE TEAM,BLUE TEAM,664646,15-11-2023
7,BLUE TEAM,BLUE TEAM,664581,15-11-2023
7,BLUE TEAM,BLUE TEAM,664548,15-11-2023
7,BLUE TEAM,BLUE TEAM,664442,15-11-2023
7,BLUE TEAM,BLUE TEAM,664352,15-11-2023
7,BLUE TEAM,BLUE TEAM,664186,14-11-2023
7,BLUE TEAM,BLUE TEAM,664177,14-11-2023
7,BLUE TEAM,BLUE TEAM,664080,14-11-2023
7,BLUE TEAM,BLUE TEAM,664006,14-11-2023
7,BLUE TEAM,BLUE TEAM,663897,14-11-2023
7,BLUE TEAM,BLUE TEAM,663839,14-11-2023
7,BLUE TEAM,BLUE TEAM,663807,14-11-2023
7,BLUE TEAM,BLUE TEAM,663793,14-11-2023
7,BLUE TEAM,BLUE TEAM,663681,13-11-2023
7,BLUE TEAM,BLUE TEAM,663669,13-11-2023
7,BLUE TEAM,BLUE TEAM,663649,13-11-2023
7,BLUE TEAM,BLUE TEAM,663582,13-11-2023
7,BLUE TEAM,BLUE TEAM,663575,13-11-2023
7,BLUE TEAM,BLUE TEAM,663453,13-11-2023
6,BLUE TEAM,BLUE TEAM,663334,13-11-2023
7,BLUE TEAM,BLUE TEAM,663302,13-11-2023
7,BLUE TEAM,BLUE TEAM,663168,10-11-2023
7,BLUE TEAM,BLUE TEAM,663155,10-11-2023
7,BLUE TEAM,BLUE TEAM,663153,10-11-2023
7,BLUE TEAM,BLUE TEAM,663016,10-11-2023
