%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,714372,26/03/2024
7,BLUE TEAM,BLUE TEAM,714172,25/03/2024
7,BLUE TEAM,BLUE TEAM,713634,22/03/2024
7,BLUE TEAM,BLUE TEAM,713616,22/03/2024
7,BLUE TEAM,BLUE TEAM,713528,22/03/2024
7,BLUE TEAM,BLUE TEAM,713501,22/03/2024
7,BLUE TEAM,BLUE TEAM,713352,22/03/2024
7,BLUE TEAM,BLUE TEAM,713313,22/03/2024
7,BLUE TEAM,BLUE TEAM,713305,22/03/2024
7,BLUE TEAM,BLUE TEAM,713242,22/03/2024
7,BLUE TEAM,BLUE TEAM,713209,22/03/2024
7,BLUE TEAM,BLUE TEAM,713117,21/03/2024
7,BLUE TEAM,BLUE TEAM,713050,21/03/2024
7,BLUE TEAM,BLUE TEAM,713046,21/03/2024
7,BLUE TEAM,BLUE TEAM,713025,21/03/2024
7,BLUE TEAM,BLUE TEAM,712903,21/03/2024
7,BLUE TEAM,BLUE TEAM,712780,21/03/2024
7,BLUE TEAM,BLUE TEAM,712755,21/03/2024
7,BLUE TEAM,BLUE TEAM,712668,21/03/2024
7,BLUE TEAM,BLUE TEAM,712650,21/03/2024
6,BLUE TEAM,BLUE TEAM,712597,21/03/2024
7,BLUE TEAM,BLUE TEAM,712584,21/03/2024
7,BLUE TEAM,BLUE TEAM,712534,20/03/2024
7,BLUE TEAM,BLUE TEAM,712517,20/03/2024
7,BLUE TEAM,BLUE TEAM,712503,20/03/2024
7,BLUE TEAM,BLUE TEAM,712500,20/03/2024
7,BLUE TEAM,BLUE TEAM,712490,20/03/2024
7,BLUE TEAM,BLUE TEAM,712464,20/03/2024
7,BLUE TEAM,BLUE TEAM,712453,20/03/2024
7,BLUE TEAM,BLUE TEAM,712354,20/03/2024
7,BLUE TEAM,BLUE TEAM,712343,20/03/2024
7,BLUE TEAM,BLUE TEAM,712289,20/03/2024
7,BLUE TEAM,BLUE TEAM,712165,20/03/2024
7,BLUE TEAM,BLUE TEAM,712155,20/03/2024
7,BLUE TEAM,BLUE TEAM,712140,20/03/2024
7,BLUE TEAM,BLUE TEAM,712123,20/03/2024
7,BLUE TEAM,BLUE TEAM,712103,20/03/2024
7,BLUE TEAM,BLUE TEAM,712017,19/03/2024
7,BLUE TEAM,BLUE TEAM,711940,19/03/2024
7,BLUE TEAM,BLUE TEAM,711910,19/03/2024
7,BLUE TEAM,BLUE TEAM,711856,19/03/2024
7,BLUE TEAM,BLUE TEAM,711803,19/03/2024
7,BLUE TEAM,BLUE TEAM,711754,19/03/2024
7,BLUE TEAM,BLUE TEAM,711735,19/03/2024
7,BLUE TEAM,BLUE TEAM,711707,19/03/2024
7,BLUE TEAM,BLUE TEAM,711654,19/03/2024
7,BLUE TEAM,BLUE TEAM,711642,19/03/2024
7,BLUE TEAM,BLUE TEAM,711601,19/03/2024
6,BLUE TEAM,BLUE TEAM,711599,19/03/2024
7,BLUE TEAM,BLUE TEAM,711477,18/03/2024
7,BLUE TEAM,BLUE TEAM,711462,18/03/2024
6,BLUE TEAM,BLUE TEAM,711400,18/03/2024
7,BLUE TEAM,BLUE TEAM,711373,18/03/2024
7,BLUE TEAM,BLUE TEAM,711297,18/03/2024
7,BLUE TEAM,BLUE TEAM,711167,18/03/2024
7,BLUE TEAM,BLUE TEAM,711162,18/03/2024
7,BLUE TEAM,BLUE TEAM,711134,18/03/2024
7,BLUE TEAM,BLUE TEAM,711132,18/03/2024
7,BLUE TEAM,BLUE TEAM,711124,18/03/2024
7,BLUE TEAM,BLUE TEAM,711076,18/03/2024
7,BLUE TEAM,BLUE TEAM,711047,18/03/2024
7,BLUE TEAM,BLUE TEAM,703904,15/03/2024
