%,Fee Earner,Case Worker,ID,Start Date
7,BLUE TEAM,BLUE TEAM,686512,01/02/2024
7,BLUE TEAM,BLUE TEAM,686368,31/01/2024
7,BLUE TEAM,BLUE TEAM,686258,31/01/2024
7,BLUE TEAM,BLUE TEAM,686067,31/01/2024
7,BLUE TEAM,BLUE TEAM,685885,30/01/2024
7,BLUE TEAM,BLUE TEAM,685844,30/01/2024
7,BLUE TEAM,BLUE TEAM,685843,30/01/2024
7,BLUE TEAM,BLUE TEAM,685834,30/01/2024
7,BLUE TEAM,BLUE TEAM,685753,30/01/2024
7,BLUE TEAM,BLUE TEAM,685554,30/01/2024
6,BLUE TEAM,BLUE TEAM,685527,30/01/2024
7,BLUE TEAM,BLUE TEAM,685458,30/01/2024
7,BLUE TEAM,BLUE TEAM,685207,29/01/2024
7,BLUE TEAM,BLUE TEAM,685185,29/01/2024
7,BLUE TEAM,BLUE TEAM,684992,29/01/2024
7,BLUE TEAM,BLUE TEAM,684936,29/01/2024
7,BLUE TEAM,BLUE TEAM,684908,29/01/2024
7,BLUE TEAM,BLUE TEAM,684685,26/01/2024
7,BLUE TEAM,BLUE TEAM,684591,26/01/2024
7,BLUE TEAM,BLUE TEAM,684587,26/01/2024
6,BLUE TEAM,BLUE TEAM,684569,26/01/2024
7,BLUE TEAM,BLUE TEAM,684498,26/01/2024
7,BLUE TEAM,BLUE TEAM,684494,26/01/2024
7,BLUE TEAM,BLUE TEAM,684479,26/01/2024
7,BLUE TEAM,BLUE TEAM,684472,26/01/2024
6,BLUE TEAM,BLUE TEAM,684438,26/01/2024
7,BLUE TEAM,BLUE TEAM,684431,26/01/2024
7,BLUE TEAM,BLUE TEAM,684427,26/01/2024
7,BLUE TEAM,BLUE TEAM,684379,26/01/2024
7,BLUE TEAM,BLUE TEAM,684366,26/01/2024
7,BLUE TEAM,BLUE TEAM,684319,26/01/2024
7,BLUE TEAM,BLUE TEAM,684195,25/01/2024
7,BLUE TEAM,BLUE TEAM,684187,25/01/2024
7,BLUE TEAM,BLUE TEAM,684117,25/01/2024
7,BLUE TEAM,BLUE TEAM,684092,25/01/2024
7,BLUE TEAM,BLUE TEAM,684083,25/01/2024
7,BLUE TEAM,BLUE TEAM,684045,25/01/2024
7,BLUE TEAM,BLUE TEAM,683958,25/01/2024
7,BLUE TEAM,BLUE TEAM,683949,25/01/2024
7,BLUE TEAM,BLUE TEAM,683858,25/01/2024
7,BLUE TEAM,BLUE TEAM,683840,25/01/2024
7,BLUE TEAM,BLUE TEAM,683823,25/01/2024
7,BLUE TEAM,BLUE TEAM,683768,24/01/2024
7,BLUE TEAM,BLUE TEAM,683692,24/01/2024
7,BLUE TEAM,BLUE TEAM,683659,24/01/2024
7,BLUE TEAM,BLUE TEAM,683649,24/01/2024
7,BLUE TEAM,BLUE TEAM,683641,24/01/2024
7,BLUE TEAM,BLUE TEAM,683622,24/01/2024
7,BLUE TEAM,BLUE TEAM,683485,24/01/2024
7,BLUE TEAM,BLUE TEAM,683459,24/01/2024
7,BLUE TEAM,BLUE TEAM,683453,24/01/2024
7,BLUE TEAM,BLUE TEAM,683442,24/01/2024
7,BLUE TEAM,BLUE TEAM,683249,23/01/2024
6,BLUE TEAM,BLUE TEAM,683131,23/01/2024
7,BLUE TEAM,BLUE TEAM,683112,23/01/2024
7,BLUE TEAM,BLUE TEAM,683070,23/01/2024
7,BLUE TEAM,BLUE TEAM,682937,23/01/2024
7,BLUE TEAM,BLUE TEAM,682919,23/01/2024
7,BLUE TEAM,BLUE TEAM,682719,22/01/2024
7,BLUE TEAM,BLUE TEAM,682714,22/01/2024
7,BLUE TEAM,BLUE TEAM,682704,22/01/2024
7,BLUE TEAM,BLUE TEAM,682689,22/01/2024
7,BLUE TEAM,BLUE TEAM,682668,22/01/2024
7,BLUE TEAM,BLUE TEAM,682662,22/01/2024
7,BLUE TEAM,BLUE TEAM,682485,22/01/2024
7,BLUE TEAM,BLUE TEAM,682443,22/01/2024
7,BLUE TEAM,BLUE TEAM,682422,22/01/2024
7,BLUE TEAM,BLUE TEAM,682096,19/01/2024
7,BLUE TEAM,BLUE TEAM,682091,19/01/2024
7,BLUE TEAM,BLUE TEAM,682025,19/01/2024
7,BLUE TEAM,BLUE TEAM,681916,19/01/2024
7,BLUE TEAM,BLUE TEAM,681907,19/01/2024
7,BLUE TEAM,BLUE TEAM,681608,18/01/2024
7,BLUE TEAM,BLUE TEAM,681515,18/01/2024
7,BLUE TEAM,BLUE TEAM,681453,18/01/2024
7,BLUE TEAM,BLUE TEAM,681439,18/01/2024
7,BLUE TEAM,BLUE TEAM,681427,18/01/2024
7,BLUE TEAM,BLUE TEAM,681398,18/01/2024
7,BLUE TEAM,BLUE TEAM,681360,18/01/2024
7,BLUE TEAM,BLUE TEAM,681328,18/01/2024
7,BLUE TEAM,BLUE TEAM,681310,18/01/2024
7,BLUE TEAM,BLUE TEAM,681304,18/01/2024
7,BLUE TEAM,BLUE TEAM,681235,17/01/2024
7,BLUE TEAM,BLUE TEAM,681150,17/01/2024
7,BLUE TEAM,BLUE TEAM,681144,17/01/2024
7,BLUE TEAM,BLUE TEAM,681124,17/01/2024
7,BLUE TEAM,BLUE TEAM,681120,17/01/2024
